نماد,نسبت پول به قیمت,درصد,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
حفارس,نسبت p/m=11.53*** distance =-94.42,2.96,10.66,-5.85,38.72,مین حجم ماه=58.15*** مین ارزش ماه =12.13***مین حجم ماه دو=77.22,خرید=0.93*** فروش =1.05
هجرت,نسبت p/m=26.63*** distance =-86.35,2.12,95.04,-16.21,19.22,مین حجم ماه=26.71*** مین ارزش ماه =5.06***مین حجم ماه دو=17.70,خرید=1.10*** فروش =1.05
نيان,نسبت p/m=-8.70*** distance =-98.67,0.46,26.30,-9.79,14.29,مین حجم ماه=31.53*** مین ارزش ماه =19.85***مین حجم ماه دو=7.50,خرید=1.92*** فروش =1.43
بورس,نسبت p/m=-14.08*** distance =-95.64,0.98,2.09,-35.36,34.89,مین حجم ماه=44.44*** مین ارزش ماه =13.39***مین حجم ماه دو=26.18,خرید=1.13*** فروش =0.99
فلوله,نسبت p/m=-11.05*** distance =-95.40,-2.64,44.39,-19.61,11.73,مین حجم ماه=12.33*** مین ارزش ماه =2.82***مین حجم ماه دو=9.69,خرید=1.11*** فروش =1.01
فرابورس,نسبت p/m=-11.04*** distance =-97.15,1.85,19.22,-20.51,36.36,مین حجم ماه=42.96*** مین ارزش ماه =16.12***مین حجم ماه دو=31.11,خرید=0.95*** فروش =0.93
وبانك,نسبت p/m=169.92*** distance =-75.59,1.57,8.71,-18.58,18.43,مین حجم ماه=18.87*** مین ارزش ماه =12.70***مین حجم ماه دو=13.11,خرید=0.95*** فروش =0.96
فن افزار,نسبت p/m=34.08*** distance =-92.35,2.06,0.45,-21.06,28.45,مین حجم ماه=20.69*** مین ارزش ماه =8.91***مین حجم ماه دو=16.76,خرید=0.62*** فروش =0.69
وبهمن,نسبت p/m=92.81*** distance =-51.65,1.99,57.09,-21.23,36.49,مین حجم ماه=19.58*** مین ارزش ماه =3.62***مین حجم ماه دو=7.64,خرید=0.52*** فروش =0.48
بتهران,نسبت p/m=14.20*** distance =-93.41,2.56,5.60,-17.89,11.19,مین حجم ماه=17.64*** مین ارزش ماه =3.58***مین حجم ماه دو=16.45,خرید=1.34*** فروش =1.61
شبريز,نسبت p/m=136.39*** distance =-94.06,2.59,0.59,-34.54,23.19,مین حجم ماه=18.31*** مین ارزش ماه =39.85***مین حجم ماه دو=7.42,خرید=0.91*** فروش =0.79
شكام,نسبت p/m=115.38*** distance =-68.64,2.98,0.53,-22.06,34.34,مین حجم ماه=32.51*** مین ارزش ماه =11.63***مین حجم ماه دو=29.02,خرید=0.74*** فروش =0.93
ولپارس,نسبت p/m=228.18*** distance =-16.34,1.01,19.83,-23.95,17.34,مین حجم ماه=7.73*** مین ارزش ماه =2.07***مین حجم ماه دو=1.39,خرید=0.42*** فروش =0.53
كرماشا,نسبت p/m=452.16*** distance =-79.94,2.97,2.68,-35.88,7.66,مین حجم ماه=9.00*** مین ارزش ماه =19.36***مین حجم ماه دو=2.07,خرید=1.81*** فروش =1.12
غپينو,نسبت p/m=129.34*** distance =-74.48,2.99,0.09,-36.92,20.47,مین حجم ماه=16.56*** مین ارزش ماه =7.88***مین حجم ماه دو=16.20,خرید=0.68*** فروش =0.77
ثالوند,نسبت p/m=62.39*** distance =-90.83,0.14,5.35,-59.17,25.90,مین حجم ماه=19.43*** مین ارزش ماه =11.83***مین حجم ماه دو=10.67,خرید=0.89*** فروش =0.89
كفرا,نسبت p/m=-0.68*** distance =-99.53,2.99,0.00,-36.67,28.92,مین حجم ماه=48.62*** مین ارزش ماه =6.30***مین حجم ماه دو=5.23,خرید=1.27*** فروش =1.33
وكادو,نسبت p/m=-128.95*** distance =-37.22,2.99,3.08,-46.52,31.47,مین حجم ماه=14.46*** مین ارزش ماه =2.80***مین حجم ماه دو=7.00,خرید=0.50*** فروش =0.52
شلعاب,نسبت p/m=3.72*** distance =-95.42,1.14,14.62,-19.58,43.99,مین حجم ماه=28.28*** مین ارزش ماه =2.19***مین حجم ماه دو=17.29,خرید=0.66*** فروش =0.66
انرژي,نسبت p/m=-177.09*** distance =-84.36,2.94,32.49,-45.68,18.50,مین حجم ماه=21.65*** مین ارزش ماه =22.55***مین حجم ماه دو=7.49,خرید=1.13*** فروش =0.83
والماس,نسبت p/m=58.61*** distance =-75.74,2.99,0.00,-45.20,23.57,مین حجم ماه=13.49*** مین ارزش ماه =3.01***مین حجم ماه دو=4.21,خرید=0.60*** فروش =0.69
ساوه,نسبت p/m=748.92*** distance =-11.73,2.93,8.22,-11.95,15.07,مین حجم ماه=9.91*** مین ارزش ماه =8.38***مین حجم ماه دو=5.45,خرید=0.53*** فروش =0.71
فرود,نسبت p/m=-102.91*** distance =-64.99,2.32,1.58,-40.73,38.04,مین حجم ماه=24.80*** مین ارزش ماه =6.78***مین حجم ماه دو=7.20,خرید=0.51*** فروش =0.44
ونيرو,نسبت p/m=10.04*** distance =-97.50,1.61,36.75,-2.96,99.21,مین حجم ماه=93.31*** مین ارزش ماه =38.01***مین حجم ماه دو=17.16,خرید=0.60*** فروش =0.71
رمپنا,نسبت p/m=288.22*** distance =-78.47,2.26,21.43,-16.84,27.60,مین حجم ماه=23.28*** مین ارزش ماه =30.52***مین حجم ماه دو=26.56,خرید=0.79*** فروش =0.79
وتوكا,نسبت p/m=-13.00*** distance =-95.28,2.98,5.07,-14.70,16.12,مین حجم ماه=29.92*** مین ارزش ماه =7.83***مین حجم ماه دو=5.79,خرید=1.69*** فروش =1.52
زبينا,نسبت p/m=86.14*** distance =-82.30,3,1.83,-31.37,9.93,مین حجم ماه=5.82*** مین ارزش ماه =2.74***مین حجم ماه دو=3.04,خرید=0.79*** فروش =0.63
دلقما,نسبت p/m=46.34*** distance =-81.16,2.98,0.04,-32.06,27.43,مین حجم ماه=35.44*** مین ارزش ماه =8.22***مین حجم ماه دو=20.24,خرید=1.05*** فروش =1.27
حتوكا,نسبت p/m=153.83*** distance =-33.11,-0.95,4.26,-16.92,23.87,مین حجم ماه=10.02*** مین ارزش ماه =2.31***مین حجم ماه دو=4.35,خرید=0.38*** فروش =0.45
كحافظ,نسبت p/m=15.90*** distance =-89.61,2.99,11.21,-40.07,28.15,مین حجم ماه=38.64*** مین ارزش ماه =5.34***مین حجم ماه دو=16.78,خرید=1.40*** فروش =1.18
شپترو,نسبت p/m=18.37*** distance =-82.51,2.41,10.17,-16.91,16.38,مین حجم ماه=19.00*** مین ارزش ماه =1.88***مین حجم ماه دو=7.43,خرید=1.06*** فروش =1.06
فخاس,نسبت p/m=29.39*** distance =-87.23,0.44,9.26,-16.53,46.00,مین حجم ماه=29.55*** مین ارزش ماه =6.64***مین حجم ماه دو=17.01,خرید=0.61*** فروش =0.44
غكورش,نسبت p/m=134.57*** distance =-69.43,2.98,0.00,-34.22,20.96,مین حجم ماه=16.66*** مین ارزش ماه =6.80***مین حجم ماه دو=11.87,خرید=0.62*** فروش =0.76
غمارگ,نسبت p/m=-5.32*** distance =-94.27,2.9,12.36,-23.10,20.48,مین حجم ماه=16.26*** مین ارزش ماه =1.45***مین حجم ماه دو=10.94,خرید=0.81*** فروش =0.84
كلر,نسبت p/m=25.31*** distance =-95.35,2.95,89.67,-30.99,19.01,مین حجم ماه=19.85*** مین ارزش ماه =10.51***مین حجم ماه دو=9.67,خرید=1.28*** فروش =0.88
ولراز,نسبت p/m=-29.90*** distance =-87.77,-1.79,7.72,-24.13,15.97,مین حجم ماه=16.12*** مین ارزش ماه =3.65***مین حجم ماه دو=7.68,خرید=0.84*** فروش =0.75
سغرب,نسبت p/m=525.50*** distance =-34.95,-1.64,13.61,-10.41,14.90,مین حجم ماه=8.54*** مین ارزش ماه =6.93***مین حجم ماه دو=2.81,خرید=0.46*** فروش =0.60
لكما,نسبت p/m=-4.92*** distance =-95.73,1.87,0.74,-38.80,26.82,مین حجم ماه=28.36*** مین ارزش ماه =2.97***مین حجم ماه دو=11.51,خرید=0.96*** فروش =0.92
مهر,نسبت p/m=128.09*** distance =-62.55,2.99,3.22,-17.76,11.37,مین حجم ماه=11.54*** مین ارزش ماه =3.88***مین حجم ماه دو=9.95,خرید=1.06*** فروش =1.15
خكرمان,نسبت p/m=15.48*** distance =-96.17,2.99,1.85,-18.53,13.84,مین حجم ماه=10.64*** مین ارزش ماه =4.14***مین حجم ماه دو=8.11,خرید=0.63*** فروش =0.70
البرز,نسبت p/m=-14.54*** distance =-93.40,-1.05,8.81,-9.46,31.32,مین حجم ماه=37.63*** مین ارزش ماه =8.26***مین حجم ماه دو=15.04,خرید=0.92*** فروش =0.55
خزر,نسبت p/m=-10.77*** distance =-93.15,1.34,17.08,-26.24,15.53,مین حجم ماه=12.56*** مین ارزش ماه =1.82***مین حجم ماه دو=15.07,خرید=0.77*** فروش =0.72
ماديرا,نسبت p/m=18.43*** distance =-93.53,2.93,1.82,-24.12,46.43,مین حجم ماه=28.11*** مین ارزش ماه =7.62***مین حجم ماه دو=16.54,خرید=0.54*** فروش =0.54
وآرين,نسبت p/m=22.03*** distance =-85.24,2.95,39.77,-7.65,9.66,مین حجم ماه=8.12*** مین ارزش ماه =1.25***مین حجم ماه دو=3.10,خرید=0.78*** فروش =0.82
نوين,نسبت p/m=7.33*** distance =-95.96,2.51,1.48,-37.21,37.18,مین حجم ماه=27.89*** مین ارزش ماه =4.78***مین حجم ماه دو=14.78,خرید=0.69*** فروش =0.64
سيسكو,نسبت p/m=-71.24*** distance =-72.19,1.7,4.40,-29.15,26.63,مین حجم ماه=30.21*** مین ارزش ماه =7.29***مین حجم ماه دو=13.76,خرید=1.12*** فروش =0.86
وتوسم,نسبت p/m=95.13*** distance =-64.43,0.04,4.64,-27.02,15.45,مین حجم ماه=7.63*** مین ارزش ماه =1.96***مین حجم ماه دو=3.38,خرید=0.58*** فروش =0.55
ستران,نسبت p/m=86.97*** distance =-89.86,-1.08,12.47,-11.93,12.57,مین حجم ماه=13.42*** مین ارزش ماه =11.13***مین حجم ماه دو=11.64,خرید=0.94*** فروش =1.12
پخش,نسبت p/m=78.33*** distance =-86.40,2.85,3.03,-14.29,14.25,مین حجم ماه=17.67*** مین ارزش ماه =9.87***مین حجم ماه دو=18.64,خرید=1.17*** فروش =1.17
فباهنر,نسبت p/m=-26.20*** distance =-96.06,1.34,2.73,-32.49,29.71,مین حجم ماه=43.10*** مین ارزش ماه =27.05***مین حجم ماه دو=27.64,خرید=1.12*** فروش =1.15
ثغرب,نسبت p/m=16.90*** distance =-95.44,-0.27,5.87,-16.33,9.98,مین حجم ماه=8.00*** مین ارزش ماه =2.81***مین حجم ماه دو=5.01,خرید=0.86*** فروش =0.89
خودكفا,نسبت p/m=-285.62*** distance =-53.76,2.93,7.74,-32.77,13.59,مین حجم ماه=9.52*** مین ارزش ماه =5.51***مین حجم ماه دو=8.75,خرید=0.81*** فروش =0.70
سليم,نسبت p/m=-48.74*** distance =-71.88,-2.47,8.95,-29.53,22.22,مین حجم ماه=18.51*** مین ارزش ماه =2.94***مین حجم ماه دو=11.76,خرید=1.05*** فروش =0.87
سبهان,نسبت p/m=94.13*** distance =-75.97,2.88,3.54,-19.70,14.42,مین حجم ماه=9.37*** مین ارزش ماه =3.57***مین حجم ماه دو=6.80,خرید=0.67*** فروش =0.67
غپاك,نسبت p/m=2.41*** distance =-97.76,2.93,4.94,-26.10,12.72,مین حجم ماه=10.54*** مین ارزش ماه =1.07***مین حجم ماه دو=12.93,خرید=0.75*** فروش =0.75
خبنيان,نسبت p/m=-25.79*** distance =-87.98,2.97,0.31,-34.65,42.20,مین حجم ماه=66.31*** مین ارزش ماه =12.85***مین حجم ماه دو=24.58,خرید=1.31*** فروش =1.23
دسبحان,نسبت p/m=14.93*** distance =-94.11,2.96,2.72,-22.39,12.44,مین حجم ماه=10.22*** مین ارزش ماه =2.50***مین حجم ماه دو=5.78,خرید=0.91*** فروش =1.29
وشهر,نسبت p/m=-56.38*** distance =-81.58,1.19,62.51,-17.03,66.41,مین حجم ماه=83.50*** مین ارزش ماه =23.70***مین حجم ماه دو=121.37,خرید=1.12*** فروش =1.05
كسرا,نسبت p/m=-0.27*** distance =-99.89,1.28,12.99,-27.28,28.79,مین حجم ماه=33.01*** مین ارزش ماه =7.41***مین حجم ماه دو=19.87,خرید=0.94*** فروش =0.90
صبا,نسبت p/m=-25.23*** distance =-92.10,2.5,10.39,-20.40,28.94,مین حجم ماه=41.60*** مین ارزش ماه =12.70***مین حجم ماه دو=34.11,خرید=1.67*** فروش =1.38
زشريف,نسبت p/m=-136.32*** distance =-81.46,2.91,2.88,-20.81,5.21,مین حجم ماه=3.66*** مین ارزش ماه =2.63***مین حجم ماه دو=1.46,خرید=0.96*** فروش =0.72
وكغدير,نسبت p/m=-42.11*** distance =-87.26,0.69,14.22,-18.55,21.91,مین حجم ماه=57.61*** مین ارزش ماه =18.41***مین حجم ماه دو=10.91,خرید=2.45*** فروش =0.90
پتاير,نسبت p/m=12.08*** distance =-93.03,1.27,22.16,-12.44,23.09,مین حجم ماه=23.56*** مین ارزش ماه =4.05***مین حجم ماه دو=22.37,خرید=0.91*** فروش =0.79
وصنا,نسبت p/m=-17.73*** distance =-93.07,0.57,23.01,-1.93,30.06,مین حجم ماه=56.34*** مین ارزش ماه =15.81***مین حجم ماه دو=28.62,خرید=1.40*** فروش =1.31
قثابت,نسبت p/m=-3.54*** distance =-98.13,2.97,0.00,-35.27,22.45,مین حجم ماه=20.75*** مین ارزش ماه =3.62***مین حجم ماه دو=16.14,خرید=0.81*** فروش =0.79
فروژ,نسبت p/m=-14.31*** distance =-83.27,1.04,6.72,-21.39,20.50,مین حجم ماه=21.76*** مین ارزش ماه =1.72***مین حجم ماه دو=7.84,خرید=1.06*** فروش =0.97
زشگزا,نسبت p/m=378.35*** distance =-72.76,2.96,5.12,-15.16,3.66,مین حجم ماه=3.03*** مین ارزش ماه =4.14***مین حجم ماه دو=1.44,خرید=0.68*** فروش =0.60
غگل,نسبت p/m=-23.32*** distance =-93.98,2.37,6.56,-8.44,9.34,مین حجم ماه=13.58*** مین ارزش ماه =5.34***مین حجم ماه دو=13.40,خرید=1.06*** فروش =1.19
تماوند,نسبت p/m=-50.21*** distance =-79.17,0.12,11.65,-4.37,14.85,مین حجم ماه=8.18*** مین ارزش ماه =1.97***مین حجم ماه دو=2.96,خرید=0.51*** فروش =0.40
ميهن,نسبت p/m=120.51*** distance =-75.87,-0.98,2.21,-52.02,12.59,مین حجم ماه=10.24*** مین ارزش ماه =4.56***مین حجم ماه دو=6.56,خرید=0.93*** فروش =1.10
ركيش,نسبت p/m=7.87*** distance =-94.64,2.98,6.49,-19.10,14.14,مین حجم ماه=9.89*** مین ارزش ماه =1.40***مین حجم ماه دو=11.27,خرید=0.62*** فروش =0.65
غناب,نسبت p/m=-10.01*** distance =-86.33,0.28,18.67,-2.12,23.15,مین حجم ماه=20.15*** مین ارزش ماه =1.49***مین حجم ماه دو=24.55,خرید=0.83*** فروش =0.76
غمينو,نسبت p/m=2.97*** distance =-99.14,2.99,0.33,-40.37,8.69,مین حجم ماه=10.13*** مین ارزش ماه =3.20***مین حجم ماه دو=5.59,خرید=1.28*** فروش =1.02
الكتروماد,نسبت p/m=62.23*** distance =-84.57,2.99,2.16,-24.78,32.41,مین حجم ماه=19.15*** مین ارزش ماه =7.41***مین حجم ماه دو=6.28,خرید=0.57*** فروش =0.53
سرود,نسبت p/m=-5.07*** distance =-99.35,-0.25,4.39,-34.71,16.51,مین حجم ماه=23.00*** مین ارزش ماه =16.43***مین حجم ماه دو=17.28,خرید=1.43*** فروش =1.08
غگرجي,نسبت p/m=-16.25*** distance =-87.79,-1.16,12.34,-15.19,8.59,مین حجم ماه=5.68*** مین ارزش ماه =0.73***مین حجم ماه دو=3.97,خرید=0.66*** فروش =0.61
فسرب,نسبت p/m=28.16*** distance =-76.46,0.32,18.94,-29.55,29.65,مین حجم ماه=17.36*** مین ارزش ماه =2.01***مین حجم ماه دو=18.19,خرید=0.51*** فروش =0.61
دعبيد,نسبت p/m=224.44*** distance =-67.20,-1.61,41.36,-1.05,6.87,مین حجم ماه=4.80*** مین ارزش ماه =3.39***مین حجم ماه دو=1.77,خرید=0.52*** فروش =0.39
شيراز,نسبت p/m=1339.44*** distance =-62.25,2.97,3.30,-18.76,3.78,مین حجم ماه=3.95*** مین ارزش ماه =13.72***مین حجم ماه دو=3.40,خرید=2.32*** فروش =1.72
دتوزيع,نسبت p/m=60.89*** distance =-64.80,2.98,2.66,-14.03,11.32,مین حجم ماه=13.53*** مین ارزش ماه =2.35***مین حجم ماه دو=11.05,خرید=0.79*** فروش =1.01
فصبا,نسبت p/m=4.62*** distance =-98.07,1.01,7.00,-18.53,21.07,مین حجم ماه=20.94*** مین ارزش ماه =4.84***مین حجم ماه دو=11.57,خرید=1.02*** فروش =1.15
حخزر,نسبت p/m=-43.31*** distance =-82.62,2.99,1.69,-47.68,29.37,مین حجم ماه=13.88*** مین ارزش ماه =3.34***مین حجم ماه دو=2.25,خرید=0.54*** فروش =0.43
خفنر,نسبت p/m=10.79*** distance =-92.06,2.99,51.41,-23.95,13.12,مین حجم ماه=17.48*** مین ارزش ماه =2.23***مین حجم ماه دو=5.47,خرید=1.27*** فروش =1.43
حتايد,نسبت p/m=-48.47*** distance =-92.72,2.89,19.35,-20.32,17.74,مین حجم ماه=20.74*** مین ارزش ماه =13.01***مین حجم ماه دو=7.77,خرید=0.85*** فروش =0.72
تجلي,نسبت p/m=-5.97*** distance =-95.84,-1.81,4.80,-9.85,11.20,مین حجم ماه=21.68*** مین ارزش ماه =3.06***مین حجم ماه دو=6.37,خرید=1.57*** فروش =1.15
قنقش,نسبت p/m=15.50*** distance =-92.73,-2.75,98.67,-8.42,10.68,مین حجم ماه=10.57*** مین ارزش ماه =2.15***مین حجم ماه دو=0.07,خرید=0.32*** فروش =0.34
كاذر,نسبت p/m=-32.93*** distance =-90.02,-3,7.08,-18.22,7.02,مین حجم ماه=6.00*** مین ارزش ماه =1.88***مین حجم ماه دو=4.73,خرید=0.95*** فروش =0.84
ثاميد,نسبت p/m=17.92*** distance =-90.30,0.37,2.03,-29.09,14.16,مین حجم ماه=16.10*** مین ارزش ماه =2.78***مین حجم ماه دو=13.77,خرید=0.84*** فروش =1.05
بكام,نسبت p/m=-2.35*** distance =-99.11,2.65,11.38,-20.21,14.30,مین حجم ماه=17.52*** مین ارزش ماه =4.25***مین حجم ماه دو=6.73,خرید=1.06*** فروش =1.13
فسوژ,نسبت p/m=-63.27*** distance =-85.71,-0.73,7.38,-21.87,8.59,مین حجم ماه=8.14*** مین ارزش ماه =3.44***مین حجم ماه دو=5.78,خرید=0.93*** فروش =0.87
عاليس,نسبت p/m=-61.76*** distance =-85.29,2.6,15.55,-20.53,11.06,مین حجم ماه=10.46*** مین ارزش ماه =4.25***مین حجم ماه دو=8.94,خرید=1.10*** فروش =0.82
وحكمت,نسبت p/m=20.27*** distance =-84.28,-2,18.00,-22.85,6.01,مین حجم ماه=3.93*** مین ارزش ماه =0.48***مین حجم ماه دو=3.14,خرید=0.66*** فروش =0.75
تاصيكو,نسبت p/m=-12.94*** distance =-98.81,2.68,5.78,-25.63,12.87,مین حجم ماه=31.72*** مین ارزش ماه =33.05***مین حجم ماه دو=18.59,خرید=2.34*** فروش =1.36
تكاردان,نسبت p/m=-2.77*** distance =-98.68,2.98,0.55,-13.67,3.88,مین حجم ماه=3.49*** مین ارزش ماه =0.72***مین حجم ماه دو=1.40,خرید=0.87*** فروش =0.64
غويتا,نسبت p/m=30.05*** distance =-86.56,0.88,9.84,-21.06,11.58,مین حجم ماه=9.27*** مین ارزش ماه =2.00***مین حجم ماه دو=10.99,خرید=0.62*** فروش =0.57
دتوليد,نسبت p/m=30.46*** distance =-86.49,2.97,4.14,-25.40,15.41,مین حجم ماه=17.86*** مین ارزش ماه =3.81***مین حجم ماه دو=5.26,خرید=0.88*** فروش =0.73
سپيدار,نسبت p/m=270.14*** distance =-73.15,-1.78,24.48,-16.65,5.65,مین حجم ماه=4.88*** مین ارزش ماه =4.56***مین حجم ماه دو=2.43,خرید=0.81*** فروش =0.99
وپايا,نسبت p/m=10.64*** distance =-90.64,1.31,5.41,-19.96,25.34,مین حجم ماه=25.15*** مین ارزش ماه =2.75***مین حجم ماه دو=17.06,خرید=0.89*** فروش =0.82
ومعلم,نسبت p/m=133.05*** distance =-48.18,2.97,13.88,-15.24,8.70,مین حجم ماه=5.47*** مین ارزش ماه =1.37***مین حجم ماه دو=2.84,خرید=0.46*** فروش =0.52
حسير,نسبت p/m=19.33*** distance =-93.74,3,82.00,-20.45,8.44,مین حجم ماه=9.04*** مین ارزش ماه =2.69***مین حجم ماه دو=1.98,خرید=0.99*** فروش =1.04
فبيرا,نسبت p/m=41.83*** distance =-61.37,-0.47,26.90,-7.07,5.25,مین حجم ماه=4.66*** مین ارزش ماه =0.49***مین حجم ماه دو=0.91,خرید=0.93*** فروش =1.03
وهامون,نسبت p/m=1.76*** distance =-98.79,2.97,0.81,-25.89,9.54,مین حجم ماه=12.61*** مین ارزش ماه =1.72***مین حجم ماه دو=9.57,خرید=1.26*** فروش =1.23
پارس,نسبت p/m=-69.91*** distance =-75.03,0.21,22.70,-21.10,16.34,مین حجم ماه=29.90*** مین ارزش ماه =8.04***مین حجم ماه دو=29.04,خرید=2.72*** فروش =0.95
فجوش,نسبت p/m=18.71*** distance =-86.59,2.96,0.34,-25.93,5.14,مین حجم ماه=2.90*** مین ارزش ماه =0.39***مین حجم ماه دو=1.21,خرید=0.45*** فروش =0.44
تكنو,نسبت p/m=-21.43*** distance =-88.42,2.97,9.40,-19.46,17.29,مین حجم ماه=16.69*** مین ارزش ماه =3.07***مین حجم ماه دو=6.86,خرید=0.93*** فروش =0.74
شبهرن,نسبت p/m=195.55*** distance =-87.75,2.99,4.91,-14.66,7.33,مین حجم ماه=10.38*** مین ارزش ماه =16.12***مین حجم ماه دو=6.40,خرید=1.21*** فروش =1.22
حبندر,نسبت p/m=-115.52*** distance =-89.60,-2.98,1.32,-52.23,4.04,مین حجم ماه=3.52*** مین ارزش ماه =3.33***مین حجم ماه دو=0.11,خرید=1.37*** فروش =1.24
پارسان,نسبت p/m=-64.58*** distance =-99.00,3,2.37,-21.96,6.69,مین حجم ماه=12.40*** مین ارزش ماه =80.40***مین حجم ماه دو=5.45,خرید=2.90*** فروش =1.42
لسرما,نسبت p/m=-12.74*** distance =-97.25,2.99,19.16,-14.55,14.09,مین حجم ماه=10.14*** مین ارزش ماه =4.67***مین حجم ماه دو=5.90,خرید=0.67*** فروش =0.67
زقيام,نسبت p/m=-39.63*** distance =-90.99,2.99,0.02,-27.46,8.62,مین حجم ماه=9.10*** مین ارزش ماه =3.76***مین حجم ماه دو=6.69,خرید=1.49*** فروش =0.99
شفن,نسبت p/m=-65.76*** distance =-86.73,-2.98,12.13,-25.37,10.66,مین حجم ماه=19.01*** مین ارزش ماه =8.84***مین حجم ماه دو=10.02,خرید=1.86*** فروش =1.01
سشرق,نسبت p/m=83.61*** distance =-94.92,3,2.23,-19.30,8.82,مین حجم ماه=7.53*** مین ارزش ماه =12.36***مین حجم ماه دو=8.47,خرید=0.61*** فروش =0.84
شمواد,نسبت p/m=-2.16*** distance =-99.17,2.98,4.41,-16.96,27.24,مین حجم ماه=29.89*** مین ارزش ماه =7.20***مین حجم ماه دو=5.62,خرید=1.29*** فروش =0.97
دسانكو,نسبت p/m=9.04*** distance =-93.77,2.94,20.71,-21.72,6.14,مین حجم ماه=10.82*** مین ارزش ماه =1.45***مین حجم ماه دو=6.79,خرید=1.61*** فروش =1.15
تليسه,نسبت p/m=62.85*** distance =-83.14,2.98,0.00,-29.36,8.88,مین حجم ماه=8.18*** مین ارزش ماه =2.93***مین حجم ماه دو=4.62,خرید=0.82*** فروش =0.87
كايزد,نسبت p/m=43.44*** distance =-91.48,2.95,25.21,-8.98,17.20,مین حجم ماه=14.77*** مین ارزش ماه =7.50***مین حجم ماه دو=1.27,خرید=0.72*** فروش =0.70
آسيا,نسبت p/m=-62.50*** distance =-58.84,-0.85,3.80,-24.94,24.58,مین حجم ماه=14.59*** مین ارزش ماه =2.09***مین حجم ماه دو=9.56,خرید=0.82*** فروش =0.62
شراز,نسبت p/m=-68.11*** distance =-97.26,2.98,0.15,-14.12,8.28,مین حجم ماه=13.51*** مین ارزش ماه =33.25***مین حجم ماه دو=7.93,خرید=1.60*** فروش =1.21
فجر,نسبت p/m=5.55*** distance =-97.79,-0.14,23.60,-1.91,19.31,مین حجم ماه=11.08*** مین ارزش ماه =2.68***مین حجم ماه دو=10.33,خرید=0.50*** فروش =0.60
وصندوق,نسبت p/m=300.62*** distance =-80.31,2.96,25.62,-21.58,16.78,مین حجم ماه=19.57*** مین ارزش ماه =29.73***مین حجم ماه دو=8.28,خرید=1.04*** فروش =0.64
كوير,نسبت p/m=-24.42*** distance =-82.62,0.85,1.39,-23.01,14.36,مین حجم ماه=15.72*** مین ارزش ماه =2.07***مین حجم ماه دو=10.81,خرید=1.08*** فروش =0.92
وآذر,نسبت p/m=-14.52*** distance =-96.42,-1.85,13.86,-32.96,8.19,مین حجم ماه=6.50*** مین ارزش ماه =2.41***مین حجم ماه دو=3.33,خرید=0.86*** فروش =0.84
شرانل,نسبت p/m=3217.78*** distance =-61.51,2.95,70.77,0.00,2.49,مین حجم ماه=1.40*** مین ارزش ماه =9.86***مین حجم ماه دو=0.55,خرید=0.62*** فروش =0.47
وكبهمن,نسبت p/m=-115.94*** distance =-35.85,2.96,0.52,-35.91,8.31,مین حجم ماه=6.14*** مین ارزش ماه =1.02***مین حجم ماه دو=2.91,خرید=0.63*** فروش =0.65
كپشير,نسبت p/m=-42.40*** distance =-94.10,2.5,46.38,-31.07,8.29,مین حجم ماه=9.46*** مین ارزش ماه =6.51***مین حجم ماه دو=6.12,خرید=0.95*** فروش =0.72
اطلس,نسبت p/m=-374.61*** distance =-94.59,1.91,1.91,-23.22,9.38,مین حجم ماه=10.29*** مین ارزش ماه =69.41***مین حجم ماه دو=6.01,خرید=1.28*** فروش =0.93
ثجنوب,نسبت p/m=259.64*** distance =-71.79,2.94,0.20,-26.19,2.65,مین حجم ماه=2.01*** مین ارزش ماه =1.80***مین حجم ماه دو=0.70,خرید=0.96*** فروش =0.87
وسالت,نسبت p/m=-111.76*** distance =-74.62,1.31,21.24,-16.87,8.99,مین حجم ماه=7.18*** مین ارزش ماه =3.03***مین حجم ماه دو=7.07,خرید=0.77*** فروش =0.84
وسكاب,نسبت p/m=51.79*** distance =-79.65,-0.04,2.15,-30.50,15.42,مین حجم ماه=11.22*** مین ارزش ماه =2.68***مین حجم ماه دو=4.43,خرید=0.98*** فروش =1.04
غشان,نسبت p/m=-37.76*** distance =-89.91,2.98,0.35,-35.65,9.64,مین حجم ماه=4.38*** مین ارزش ماه =1.62***مین حجم ماه دو=1.85,خرید=0.51*** فروش =0.52
وسپهر,نسبت p/m=60.74*** distance =-82.79,-0.28,5.61,-14.00,22.47,مین حجم ماه=17.95*** مین ارزش ماه =6.07***مین حجم ماه دو=8.95,خرید=0.68*** فروش =0.69
ثجوان,نسبت p/m=-5.95*** distance =-96.13,-2.79,84.70,-16.88,5.50,مین حجم ماه=8.51*** مین ارزش ماه =1.21***مین حجم ماه دو=1.33,خرید=1.47*** فروش =1.27
وكار,نسبت p/m=11.26*** distance =-96.17,-1.8,7.39,-5.00,7.92,مین حجم ماه=5.88*** مین ارزش ماه =1.70***مین حجم ماه دو=2.14,خرید=0.47*** فروش =0.57
شاوان,نسبت p/m=344.47*** distance =-84.32,2.86,0.21,-29.30,6.35,مین حجم ماه=4.84*** مین ارزش ماه =10.23***مین حجم ماه دو=2.85,خرید=0.81*** فروش =0.76
