نماد,نسبت پول به قیمت,درصد,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
وغدير,نسبت p/m=107.02*** distance =-89.25,2.96,3.45,-21.94,78.00,مین حجم ماه=104.24*** مین ارزش ماه =101.85***مین حجم ماه دو=37.04,خرید=1.53*** فروش =1.22
خگستر,نسبت p/m=8.10*** distance =-97.92,2.8,5.24,-36.84,223.47,مین حجم ماه=213.45*** مین ارزش ماه =76.79***مین حجم ماه دو=109.17,خرید=0.91*** فروش =0.90
چكاپا,نسبت p/m=-0.16*** distance =-99.87,2.39,4.76,-20.31,145.17,مین حجم ماه=103.84*** مین ارزش ماه =11.53***مین حجم ماه دو=40.67,خرید=0.74*** فروش =0.68
كالا,نسبت p/m=5.60*** distance =-99.20,2.9,14.48,-42.80,120.60,مین حجم ماه=99.09*** مین ارزش ماه =65.96***مین حجم ماه دو=51.68,خرید=1.16*** فروش =0.94
فاذر,نسبت p/m=-3.22*** distance =-96.47,3,2.54,-30.41,74.13,مین حجم ماه=63.48*** مین ارزش ماه =5.44***مین حجم ماه دو=44.94,خرید=1.01*** فروش =1.02
بترانس,نسبت p/m=24.28*** distance =-93.40,2.98,2.30,-25.33,115.51,مین حجم ماه=86.40*** مین ارزش ماه =30.15***مین حجم ماه دو=36.68,خرید=0.71*** فروش =0.74
ثمسكن,نسبت p/m=24.45*** distance =-88.00,-2.04,6.00,-31.91,51.01,مین حجم ماه=31.96*** مین ارزش ماه =6.00***مین حجم ماه دو=11.95,خرید=0.71*** فروش =0.73
سمگا,نسبت p/m=47.20*** distance =-84.61,1.99,6.63,-37.52,50.01,مین حجم ماه=44.87*** مین ارزش ماه =13.00***مین حجم ماه دو=47.59,خرید=0.92*** فروش =0.93
دزهراوي,نسبت p/m=130.57*** distance =-6.07,2.97,3.02,-24.77,56.02,مین حجم ماه=24.37*** مین ارزش ماه =3.41***مین حجم ماه دو=4.43,خرید=0.44*** فروش =0.49
خصدرا,نسبت p/m=7.23*** distance =-96.56,-2.38,23.60,-10.08,68.28,مین حجم ماه=94.03*** مین ارزش ماه =19.64***مین حجم ماه دو=1.44,خرید=1.22*** فروش =1.15
شهر,نسبت p/m=119.06*** distance =-49.04,2.97,8.57,-10.89,44.88,مین حجم ماه=34.02*** مین ارزش ماه =8.05***مین حجم ماه دو=21.70,خرید=0.90*** فروش =1.13
وپاسار,نسبت p/m=64.72*** distance =-87.23,-1.41,3.55,-20.56,102.90,مین حجم ماه=89.98*** مین ارزش ماه =43.00***مین حجم ماه دو=164.22,خرید=0.89*** فروش =1.23
ثبهساز,نسبت p/m=62.99*** distance =-73.90,-0.92,4.18,-22.71,99.55,مین حجم ماه=70.36*** مین ارزش ماه =16.29***مین حجم ماه دو=26.35,خرید=0.68*** فروش =0.70
ولساپا,نسبت p/m=6.74*** distance =-89.78,2.91,1.76,-11.46,59.33,مین حجم ماه=59.16*** مین ارزش ماه =3.78***مین حجم ماه دو=40.81,خرید=1.02*** فروش =1.04
انتخاب,نسبت p/m=40.30*** distance =-61.38,2.92,9.52,-14.55,169.51,مین حجم ماه=81.74*** مین ارزش ماه =8.36***مین حجم ماه دو=24.02,خرید=0.45*** فروش =0.40
غزر,نسبت p/m=-15.66*** distance =-93.52,2.93,0.88,-36.70,80.60,مین حجم ماه=72.62*** مین ارزش ماه =16.22***مین حجم ماه دو=83.69,خرید=0.97*** فروش =0.95
وتوشه,نسبت p/m=425.30*** distance =-20.73,2.82,1.80,-18.11,17.57,مین حجم ماه=10.00*** مین ارزش ماه =5.23***مین حجم ماه دو=4.76,خرید=0.67*** فروش =0.71
خموتور,نسبت p/m=136.11*** distance =-58.79,2.99,20.59,-29.21,47.73,مین حجم ماه=25.98*** مین ارزش ماه =8.23***مین حجم ماه دو=6.89,خرید=0.64*** فروش =0.53
دالبر,نسبت p/m=211.27*** distance =-46.08,2.99,0.07,-12.62,35.06,مین حجم ماه=31.48*** مین ارزش ماه =12.34***مین حجم ماه دو=11.90,خرید=0.74*** فروش =0.74
وخارزم,نسبت p/m=-43.19*** distance =-85.05,2.97,1.13,-35.56,112.43,مین حجم ماه=126.17*** مین ارزش ماه =32.78***مین حجم ماه دو=71.74,خرید=1.22*** فروش =0.94
دانا,نسبت p/m=135.89*** distance =-48.79,2.97,0.21,-31.79,48.92,مین حجم ماه=33.02*** مین ارزش ماه =8.63***مین حجم ماه دو=13.28,خرید=0.58*** فروش =1.05
فاراك,نسبت p/m=6.77*** distance =-94.84,2.99,2.26,-28.03,100.02,مین حجم ماه=106.18*** مین ارزش ماه =13.43***مین حجم ماه دو=68.84,خرید=0.95*** فروش =0.83
ولنوين,نسبت p/m=79.79*** distance =-70.66,0.59,1.52,-28.71,24.25,مین حجم ماه=13.17*** مین ارزش ماه =3.49***مین حجم ماه دو=8.87,خرید=0.65*** فروش =0.85
وخاور,نسبت p/m=38.20*** distance =-84.74,0.2,39.53,-18.58,106.09,مین حجم ماه=81.43*** مین ارزش ماه =19.88***مین حجم ماه دو=49.85,خرید=0.69*** فروش =0.64
بجهرم,نسبت p/m=4.06*** distance =-98.00,2.34,0.66,-30.88,77.81,مین حجم ماه=65.35*** مین ارزش ماه =12.80***مین حجم ماه دو=47.06,خرید=0.62*** فروش =0.65
فجهان,نسبت p/m=80.01*** distance =-56.64,2.97,33.52,-4.52,23.80,مین حجم ماه=15.24*** مین ارزش ماه =2.84***مین حجم ماه دو=13.78,خرید=0.71*** فروش =0.74
ورازي,نسبت p/m=-26.31*** distance =-69.02,-0.48,10.83,-28.71,41.83,مین حجم ماه=42.32*** مین ارزش ماه =3.22***مین حجم ماه دو=15.60,خرید=0.87*** فروش =0.95
سيمرغ,نسبت p/m=-51.67*** distance =-70.15,-1.76,7.33,-11.42,39.47,مین حجم ماه=44.03*** مین ارزش ماه =7.37***مین حجم ماه دو=26.94,خرید=1.13*** فروش =0.81
پترول,نسبت p/m=-15.22*** distance =-90.51,1.13,4.20,-21.65,57.33,مین حجم ماه=63.21*** مین ارزش ماه =9.48***مین حجم ماه دو=51.81,خرید=1.11*** فروش =1.12
حفاري,نسبت p/m=93.93*** distance =-80.59,-2.99,6.31,-28.27,50.35,مین حجم ماه=45.94*** مین ارزش ماه =21.65***مین حجم ماه دو=19.91,خرید=0.90*** فروش =0.84
جوين,نسبت p/m=-7.94*** distance =-97.70,2.98,10.36,-12.80,19.54,مین حجم ماه=12.91*** مین ارزش ماه =4.37***مین حجم ماه دو=5.06,خرید=0.65*** فروش =0.61
شيران,نسبت p/m=-33.40*** distance =-93.73,2.66,16.88,-12.50,55.23,مین حجم ماه=111.26*** مین ارزش ماه =56.75***مین حجم ماه دو=22.16,خرید=1.68*** فروش =1.64
چدن,نسبت p/m=1.04*** distance =-99.31,1.54,4.64,-24.81,38.29,مین حجم ماه=43.27*** مین ارزش ماه =6.16***مین حجم ماه دو=23.55,خرید=1.00*** فروش =1.16
كاما,نسبت p/m=9.16*** distance =-96.20,0.97,5.23,-30.19,94.39,مین حجم ماه=65.97*** مین ارزش ماه =14.61***مین حجم ماه دو=42.34,خرید=0.96*** فروش =1.00
قصفها,نسبت p/m=5.02*** distance =-95.71,-0.92,5.11,-18.18,30.84,مین حجم ماه=34.79*** مین ارزش ماه =3.82***مین حجم ماه دو=29.88,خرید=1.38*** فروش =1.49
وپارس,نسبت p/m=43.22*** distance =-84.59,2.97,8.08,-23.88,108.67,مین حجم ماه=86.49*** مین ارزش ماه =22.90***مین حجم ماه دو=64.75,خرید=0.63*** فروش =0.59
ورنا,نسبت p/m=46.09*** distance =-92.02,1.55,2.65,-38.03,79.61,مین حجم ماه=75.76*** مین ارزش ماه =40.55***مین حجم ماه دو=31.81,خرید=0.88*** فروش =0.80
زملارد,نسبت p/m=0.70*** distance =-99.16,2.96,6.09,-27.76,41.04,مین حجم ماه=39.07*** مین ارزش ماه =3.06***مین حجم ماه دو=29.28,خرید=0.95*** فروش =0.92
وسينا,نسبت p/m=40.71*** distance =-86.18,2.99,0.88,-20.43,109.66,مین حجم ماه=101.82*** مین ارزش ماه =28.31***مین حجم ماه دو=51.70,خرید=0.55*** فروش =0.60
اسياتك,نسبت p/m=94.68*** distance =-72.03,-0.03,2.81,-32.35,33.03,مین حجم ماه=28.38*** مین ارزش ماه =9.02***مین حجم ماه دو=18.99,خرید=0.77*** فروش =0.67
غنوش,نسبت p/m=43.84*** distance =-94.42,2.9,10.32,-39.44,17.29,مین حجم ماه=11.84*** مین ارزش ماه =8.77***مین حجم ماه دو=5.91,خرید=0.83*** فروش =0.84
وساخت,نسبت p/m=10.53*** distance =-91.02,-1.33,5.87,-33.86,108.76,مین حجم ماه=72.88*** مین ارزش ماه =7.96***مین حجم ماه دو=19.92,خرید=0.65*** فروش =0.66
كماسه,نسبت p/m=24.95*** distance =-92.81,1.07,31.65,-21.57,37.85,مین حجم ماه=35.08*** مین ارزش ماه =11.16***مین حجم ماه دو=18.64,خرید=0.88*** فروش =0.89
بركت,نسبت p/m=13.03*** distance =-94.27,2.96,8.39,-26.69,55.06,مین حجم ماه=50.20*** مین ارزش ماه =10.70***مین حجم ماه دو=24.19,خرید=0.73*** فروش =0.76
كرازي,نسبت p/m=13.04*** distance =-85.84,1.2,13.29,-11.79,41.97,مین حجم ماه=49.10*** مین ارزش ماه =4.46***مین حجم ماه دو=38.13,خرید=0.97*** فروش =0.97
ختراك,نسبت p/m=74.09*** distance =-67.94,2.96,11.02,-21.15,53.08,مین حجم ماه=31.08*** مین ارزش ماه =6.81***مین حجم ماه دو=8.90,خرید=0.66*** فروش =0.59
زفكا,نسبت p/m=43.11*** distance =-88.66,2.99,0.98,-16.72,21.09,مین حجم ماه=24.23*** مین ارزش ماه =9.00***مین حجم ماه دو=19.60,خرید=1.50*** فروش =1.11
فزر,نسبت p/m=607.73*** distance =-92.40,-3,7.83,-5.57,26.10,مین حجم ماه=30.87*** مین ارزش ماه =247.65***مین حجم ماه دو=22.97,خرید=1.18*** فروش =1.18
دارو,نسبت p/m=75.57*** distance =-58.78,2.05,92.56,-39.14,36.10,مین حجم ماه=34.27*** مین ارزش ماه =5.74***مین حجم ماه دو=19.70,خرید=0.91*** فروش =1.02
