نماد,نسبت پول به قیمت,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
بترانس,نسبت p/m=11.34*** distance =-96.83,0.03,-26.20,112.18,مین حجم ماه=78.45*** مین ارزش ماه =26.83***مین حجم ماه دو=41.66,خرید=0.70*** فروش =0.75
ومعادن,نسبت p/m=-44.76*** distance =-77.70,4.30,-32.90,236.47,مین حجم ماه=210.99*** مین ارزش ماه =39.82***مین حجم ماه دو=76.67,خرید=1.02*** فروش =0.60
خكاوه,نسبت p/m=-3.35*** distance =-94.76,27.78,-12.26,244.48,مین حجم ماه=225.48*** مین ارزش ماه =13.92***مین حجم ماه دو=35.01,خرید=1.11*** فروش =1.07
كگل,نسبت p/m=39.76*** distance =-80.35,7.10,-26.91,243.56,مین حجم ماه=178.06*** مین ارزش ماه =34.01***مین حجم ماه دو=59.28,خرید=0.70*** فروش =0.57
وغدير,نسبت p/m=82.13*** distance =-91.82,3.55,-22.26,86.79,مین حجم ماه=96.42*** مین ارزش ماه =93.26***مین حجم ماه دو=39.07,خرید=1.27*** فروش =0.89
شپلي,نسبت p/m=29.04*** distance =-81.30,3.57,-28.44,158.85,مین حجم ماه=153.66*** مین ارزش ماه =22.74***مین حجم ماه دو=105.26,خرید=1.00*** فروش =1.16
خاور,نسبت p/m=14.05*** distance =-87.14,29.87,-40.10,239.27,مین حجم ماه=173.17*** مین ارزش ماه =17.41***مین حجم ماه دو=176.57,خرید=0.81*** فروش =0.75
وساپا,نسبت p/m=138.69*** distance =-69.09,1.82,-40.61,255.24,مین حجم ماه=159.35*** مین ارزش ماه =73.08***مین حجم ماه دو=96.85,خرید=0.57*** فروش =0.58
وخارزم,نسبت p/m=-47.04*** distance =-82.82,0.00,-30.47,122.50,مین حجم ماه=118.45*** مین ارزش ماه =29.85***مین حجم ماه دو=90.29,خرید=1.26*** فروش =0.95
شبندر,نسبت p/m=-91.68*** distance =-92.55,3.42,-26.58,141.99,مین حجم ماه=138.56*** مین ارزش ماه =164.41***مین حجم ماه دو=78.58,خرید=1.03*** فروش =0.80
وپاسار,نسبت p/m=-53.18*** distance =-89.23,1.24,-21.28,88.22,مین حجم ماه=80.14*** مین ارزش ماه =36.62***مین حجم ماه دو=174.46,خرید=0.79*** فروش =1.10
دي,نسبت p/m=-2.11*** distance =-96.86,1.66,-28.29,333.43,مین حجم ماه=306.35*** مین ارزش ماه =19.32***مین حجم ماه دو=123.03,خرید=0.85*** فروش =0.91
فاراك,نسبت p/m=41.10*** distance =-68.71,4.00,-25.74,167.92,مین حجم ماه=103.63*** مین ارزش ماه =12.81***مین حجم ماه دو=72.26,خرید=0.67*** فروش =0.72
تپكو,نسبت p/m=4.43*** distance =-88.59,23.40,-26.11,187.48,مین حجم ماه=178.80*** مین ارزش ماه =6.51***مین حجم ماه دو=90.86,خرید=1.00*** فروش =0.98
ثقزوي,نسبت p/m=-29.39*** distance =-90.58,29.39,-3.13,13.56,مین حجم ماه=5.01*** مین ارزش ماه =1.50***مین حجم ماه دو=0.25,خرید=0.40*** فروش =0.63
كرازي,نسبت p/m=32.15*** distance =-64.87,12.54,-15.71,52.35,مین حجم ماه=46.49*** مین ارزش ماه =4.17***مین حجم ماه دو=40.90,خرید=0.86*** فروش =1.00
ختراك,نسبت p/m=133.31*** distance =-38.62,10.79,-23.13,45.67,مین حجم ماه=26.71*** مین ارزش ماه =5.75***مین حجم ماه دو=9.73,خرید=0.65*** فروش =0.77
وپارس,نسبت p/m=174.76*** distance =-35.52,8.77,-24.19,133.44,مین حجم ماه=77.23*** مین ارزش ماه =19.97***مین حجم ماه دو=68.25,خرید=0.50*** فروش =0.64
كرمان,نسبت p/m=-3.06*** distance =-96.46,0.00,-43.95,243.63,مین حجم ماه=162.33*** مین ارزش ماه =12.91***مین حجم ماه دو=112.06,خرید=0.73*** فروش =0.67
فخوز,نسبت p/m=4.97*** distance =-96.35,15.39,-29.62,217.10,مین حجم ماه=141.49*** مین ارزش ماه =18.00***مین حجم ماه دو=76.82,خرید=0.72*** فروش =0.60
غزر,نسبت p/m=-10.46*** distance =-95.50,0.53,-35.11,69.43,مین حجم ماه=66.09*** مین ارزش ماه =14.09***مین حجم ماه دو=79.63,خرید=1.03*** فروش =0.94
وسينا,نسبت p/m=179.23*** distance =-34.89,0.00,-16.83,139.34,مین حجم ماه=92.32*** مین ارزش ماه =25.07***مین حجم ماه دو=50.27,خرید=0.45*** فروش =0.67
البرز,نسبت p/m=106.71*** distance =-51.63,13.80,-11.32,67.65,مین حجم ماه=36.31*** مین ارزش ماه =7.94***مین حجم ماه دو=17.42,خرید=0.51*** فروش =0.55
كقزوي,نسبت p/m=1.40*** distance =-97.63,18.48,-27.71,40.10,مین حجم ماه=40.52*** مین ارزش ماه =2.19***مین حجم ماه دو=28.00,خرید=1.01*** فروش =1.25
كيسون,نسبت p/m=45.20*** distance =-73.70,37.99,-7.98,839.53,مین حجم ماه=288.90*** مین ارزش ماه =49.36***مین حجم ماه دو=4.88,خرید=0.27*** فروش =0.28
فخاس,نسبت p/m=221.42*** distance =-2.73,9.27,-21.01,57.79,مین حجم ماه=26.36*** مین ارزش ماه =5.88***مین حجم ماه دو=19.19,خرید=0.48*** فروش =0.56
ونيرو,نسبت p/m=78.95*** distance =-80.46,35.88,-4.37,208.08,مین حجم ماه=83.22*** مین ارزش ماه =33.96***مین حجم ماه دو=26.16,خرید=0.28*** فروش =0.35
فولاژ,نسبت p/m=391.89*** distance =18.21,16.15,-5.22,20.59,مین حجم ماه=9.47*** مین ارزش ماه =3.17***مین حجم ماه دو=3.13,خرید=0.58*** فروش =0.99
بميلا,نسبت p/m=478.65*** distance =-40.84,35.48,-1.62,9.98,مین حجم ماه=3.38*** مین ارزش ماه =2.56***مین حجم ماه دو=2.17,خرید=0.34*** فروش =0.33
فارس,نسبت p/m=-70.65*** distance =-91.80,2.79,-30.63,56.18,مین حجم ماه=56.78*** مین ارزش ماه =46.12***مین حجم ماه دو=24.76,خرید=1.03*** فروش =0.82
خگستر,نسبت p/m=2.43*** distance =-99.35,9.07,-35.42,254.56,مین حجم ماه=194.84*** مین ارزش ماه =67.73***مین حجم ماه دو=121.28,خرید=0.67*** فروش =0.68
ماديرا,نسبت p/m=24.35*** distance =-90.83,0.57,-17.47,37.11,مین حجم ماه=22.79*** مین ارزش ماه =6.01***مین حجم ماه دو=18.25,خرید=0.61*** فروش =0.60
ولساپا,نسبت p/m=2.79*** distance =-95.63,0.00,-13.73,71.61,مین حجم ماه=79.86*** مین ارزش ماه =4.99***مین حجم ماه دو=28.83,خرید=1.15*** فروش =1.15
خديزل,نسبت p/m=-23.01*** distance =-84.82,4.46,-26.75,75.19,مین حجم ماه=47.96*** مین ارزش ماه =6.87***مین حجم ماه دو=27.14,خرید=0.76*** فروش =0.62
وپايا,نسبت p/m=13.03*** distance =-88.24,7.37,-20.70,40.42,مین حجم ماه=25.52*** مین ارزش ماه =2.74***مین حجم ماه دو=16.50,خرید=0.74*** فروش =0.63
كالا,نسبت p/m=-53.26*** distance =-92.16,21.26,-36.73,68.59,مین حجم ماه=75.77*** مین ارزش ماه =47.63***مین حجم ماه دو=50.95,خرید=1.14*** فروش =1.00
ورنا,نسبت p/m=58.71*** distance =-89.42,2.56,-33.80,81.63,مین حجم ماه=64.96*** مین ارزش ماه =33.75***مین حجم ماه دو=33.94,خرید=0.75*** فروش =0.73
خپارس,نسبت p/m=0.85*** distance =-98.81,18.63,-24.39,143.16,مین حجم ماه=143.81*** مین ارزش ماه =9.65***مین حجم ماه دو=79.73,خرید=0.87*** فروش =0.82
خزاميا,نسبت p/m=3.15*** distance =-98.13,16.44,-39.20,414.67,مین حجم ماه=292.05*** مین ارزش ماه =45.76***مین حجم ماه دو=176.69,خرید=0.61*** فروش =0.60
شيران,نسبت p/m=-14.42*** distance =-97.28,16.41,-13.13,88.62,مین حجم ماه=104.37*** مین ارزش ماه =52.98***مین حجم ماه دو=26.86,خرید=0.94*** فروش =1.01
سامان,نسبت p/m=-73.99*** distance =-74.09,0.17,-21.84,42.39,مین حجم ماه=56.25*** مین ارزش ماه =14.99***مین حجم ماه دو=72.42,خرید=1.78*** فروش =1.07
ميدكو,نسبت p/m=872.57*** distance =118.63,1.68,-20.11,35.05,مین حجم ماه=14.90*** مین ارزش ماه =5.99***مین حجم ماه دو=11.43,خرید=0.38*** فروش =1.20
سيمرغ,نسبت p/m=-5.31*** distance =-96.89,0.06,-18.77,58.87,مین حجم ماه=39.89*** مین ارزش ماه =6.61***مین حجم ماه دو=30.85,خرید=0.62*** فروش =0.67
پترول,نسبت p/m=-18.22*** distance =-88.31,0.49,-23.32,52.82,مین حجم ماه=70.33*** مین ارزش ماه =10.26***مین حجم ماه دو=46.88,خرید=1.20*** فروش =1.11
شفارس,نسبت p/m=17.47*** distance =-89.88,16.35,-10.31,46.38,مین حجم ماه=43.04*** مین ارزش ماه =7.30***مین حجم ماه دو=23.23,خرید=0.89*** فروش =0.89
پتاير,نسبت p/m=57.59*** distance =-66.64,22.51,-14.50,29.40,مین حجم ماه=23.40*** مین ارزش ماه =3.97***مین حجم ماه دو=23.38,خرید=0.88*** فروش =0.98
وسپه,نسبت p/m=-35.95*** distance =-94.70,4.35,-31.72,35.51,مین حجم ماه=30.14*** مین ارزش ماه =18.90***مین حجم ماه دو=24.00,خرید=0.88*** فروش =0.83
خصدرا,نسبت p/m=39.99*** distance =-80.51,25.03,-8.93,91.29,مین حجم ماه=80.28*** مین ارزش ماه =16.71***مین حجم ماه دو=1.29,خرید=0.70*** فروش =0.71
بجهرم,نسبت p/m=19.31*** distance =-90.20,2.38,-25.56,97.65,مین حجم ماه=52.87*** مین ارزش ماه =10.03***مین حجم ماه دو=48.52,خرید=0.52*** فروش =0.57
تماوند,نسبت p/m=-20.48*** distance =-91.50,12.77,-4.94,15.72,مین حجم ماه=6.48*** مین ارزش ماه =1.56***مین حجم ماه دو=3.26,خرید=0.47*** فروش =0.35
وصندوق,نسبت p/m=1035.19*** distance =-32.96,24.90,-24.62,30.94,مین حجم ماه=17.91*** مین ارزش ماه =27.00***مین حجم ماه دو=8.62,خرید=0.52*** فروش =0.55
دالبر,نسبت p/m=166.64*** distance =-56.81,3.27,-9.83,35.60,مین حجم ماه=26.13*** مین ارزش ماه =10.16***مین حجم ماه دو=11.76,خرید=0.60*** فروش =0.61
حفارس,نسبت p/m=-22.19*** distance =-89.83,8.61,-8.29,48.47,مین حجم ماه=56.83*** مین ارزش ماه =11.88***مین حجم ماه دو=79.17,خرید=1.02*** فروش =1.16
نوين,نسبت p/m=59.94*** distance =-65.03,0.06,-34.07,30.62,مین حجم ماه=21.49*** مین ارزش ماه =3.54***مین حجم ماه دو=15.08,خرید=0.74*** فروش =0.73
شبريز,نسبت p/m=320.79*** distance =-85.88,3.28,-35.68,23.45,مین حجم ماه=16.53*** مین ارزش ماه =35.01***مین حجم ماه دو=8.52,خرید=0.87*** فروش =0.93
پرديس,نسبت p/m=35.87*** distance =-78.11,4.07,-20.82,30.98,مین حجم ماه=26.22*** مین ارزش ماه =4.04***مین حجم ماه دو=22.52,خرید=0.89*** فروش =0.86
كوثر,نسبت p/m=36.44*** distance =-81.38,11.35,-26.33,59.37,مین حجم ماه=47.77*** مین ارزش ماه =8.73***مین حجم ماه دو=28.42,خرید=0.74*** فروش =0.74
دماوند,نسبت p/m=205.98*** distance =-74.33,0.00,-31.46,22.74,مین حجم ماه=16.21*** مین ارزش ماه =12.31***مین حجم ماه دو=6.71,خرید=0.79*** فروش =0.79
ثبهساز,نسبت p/m=80.07*** distance =-65.24,3.03,-18.36,84.21,مین حجم ماه=55.83*** مین ارزش ماه =12.42***مین حجم ماه دو=27.02,خرید=0.62*** فروش =0.67
ثمسكن,نسبت p/m=33.94*** distance =-82.28,2.19,-35.26,39.18,مین حجم ماه=24.43*** مین ارزش ماه =4.38***مین حجم ماه دو=12.85,خرید=0.57*** فروش =0.62
سرچشمه,نسبت p/m=108.53*** distance =-66.99,17.30,-26.84,45.66,مین حجم ماه=23.31*** مین ارزش ماه =7.29***مین حجم ماه دو=13.53,خرید=0.51*** فروش =0.46
شلعاب,نسبت p/m=-14.64*** distance =-81.68,17.33,-24.25,35.96,مین حجم ماه=23.08*** مین ارزش ماه =1.75***مین حجم ماه دو=17.82,خرید=0.70*** فروش =0.66
چدن,نسبت p/m=1.37*** distance =-99.09,4.38,-27.89,45.66,مین حجم ماه=41.23*** مین ارزش ماه =5.76***مین حجم ماه دو=24.27,خرید=0.98*** فروش =0.99
آريان,نسبت p/m=249.79*** distance =-45.41,0.00,-24.12,53.64,مین حجم ماه=47.11*** مین ارزش ماه =20.42***مین حجم ماه دو=87.61,خرید=0.57*** فروش =1.80
كچاد,نسبت p/m=125.12*** distance =-47.80,1.63,-45.03,307.16,مین حجم ماه=147.07*** مین ارزش ماه =33.62***مین حجم ماه دو=56.85,خرید=0.48*** فروش =0.43
تايرا,نسبت p/m=101.57*** distance =-70.16,26.19,-21.35,58.93,مین حجم ماه=51.40*** مین ارزش ماه =16.68***مین حجم ماه دو=15.59,خرید=0.65*** فروش =0.73
كروميت,نسبت p/m=31.12*** distance =-92.36,15.42,-21.38,21.65,مین حجم ماه=16.18*** مین ارزش ماه =6.26***مین حجم ماه دو=9.64,خرید=0.81*** فروش =0.82
غناب,نسبت p/m=-4.46*** distance =-93.94,16.31,-5.08,30.51,مین حجم ماه=20.58*** مین ارزش ماه =1.54***مین حجم ماه دو=23.11,خرید=0.57*** فروش =0.61
ولبهمن,نسبت p/m=95.36*** distance =-60.56,0.31,-24.57,31.14,مین حجم ماه=14.09*** مین ارزش ماه =3.39***مین حجم ماه دو=5.68,خرید=0.40*** فروش =0.43
صبا,نسبت p/m=-36.06*** distance =-88.89,9.83,-23.78,38.62,مین حجم ماه=47.42*** مین ارزش ماه =14.60***مین حجم ماه دو=35.42,خرید=0.99*** فروش =0.86
كسرا,نسبت p/m=8.79*** distance =-96.25,11.67,-30.87,38.05,مین حجم ماه=29.80*** مین ارزش ماه =6.55***مین حجم ماه دو=20.75,خرید=0.74*** فروش =0.74
وسبحان,نسبت p/m=-46.39*** distance =-77.99,4.61,-12.51,23.16,مین حجم ماه=21.17*** مین ارزش ماه =4.58***مین حجم ماه دو=10.88,خرید=0.92*** فروش =0.76
حفاري,نسبت p/m=123.93*** distance =-74.54,9.69,-32.63,74.48,مین حجم ماه=37.80*** مین ارزش ماه =17.51***مین حجم ماه دو=21.61,خرید=0.55*** فروش =0.54
دسبحان,نسبت p/m=26.87*** distance =-89.17,12.08,-19.92,10.64,مین حجم ماه=10.30*** مین ارزش ماه =2.46***مین حجم ماه دو=6.06,خرید=1.13*** فروش =1.24
دتوليد,نسبت p/m=138.06*** distance =-37.19,5.56,-24.69,23.93,مین حجم ماه=16.40*** مین ارزش ماه =3.45***مین حجم ماه دو=5.37,خرید=0.67*** فروش =0.79
وصنا,نسبت p/m=-10.92*** distance =-95.87,18.61,-3.14,48.65,مین حجم ماه=63.99*** مین ارزش ماه =18.25***مین حجم ماه دو=25.38,خرید=0.94*** فروش =0.89
آباد,نسبت p/m=14.53*** distance =-83.07,20.09,-17.94,59.06,مین حجم ماه=39.82*** مین ارزش ماه =3.37***مین حجم ماه دو=29.91,خرید=0.58*** فروش =0.65
الكتروماد,نسبت p/m=49.56*** distance =-86.82,9.90,-14.91,25.65,مین حجم ماه=16.36*** مین ارزش ماه =6.22***مین حجم ماه دو=6.33,خرید=0.58*** فروش =0.56
وبانك,نسبت p/m=249.63*** distance =-63.26,27.12,-17.57,20.22,مین حجم ماه=17.39*** مین ارزش ماه =11.51***مین حجم ماه دو=15.40,خرید=0.79*** فروش =0.93
فزر,نسبت p/m=607.10*** distance =-92.53,5.28,-18.40,32.48,مین حجم ماه=31.40*** مین ارزش ماه =247.20***مین حجم ماه دو=21.79,خرید=0.90*** فروش =0.87
زملارد,نسبت p/m=1.86*** distance =-97.78,3.61,-32.56,36.77,مین حجم ماه=41.18*** مین ارزش ماه =3.11***مین حجم ماه دو=27.14,خرید=1.15*** فروش =1.23
هجرت,نسبت p/m=69.32*** distance =-64.92,94.78,-22.36,40.99,مین حجم ماه=26.72*** مین ارزش ماه =5.00***مین حجم ماه دو=16.34,خرید=0.59*** فروش =0.72
خكار,نسبت p/m=28.86*** distance =-80.93,3.66,-23.00,33.30,مین حجم ماه=28.90*** مین ارزش ماه =4.16***مین حجم ماه دو=19.33,خرید=0.76*** فروش =0.75
كحافظ,نسبت p/m=25.33*** distance =-82.65,66.08,-31.14,29.62,مین حجم ماه=37.04*** مین ارزش ماه =4.98***مین حجم ماه دو=20.09,خرید=1.47*** فروش =1.39
خبنيان,نسبت p/m=-27.93*** distance =-86.50,0.92,-36.56,67.64,مین حجم ماه=80.28*** مین ارزش ماه =14.74***مین حجم ماه دو=13.69,خرید=0.92*** فروش =1.15
وليز,نسبت p/m=-88.47*** distance =-62.88,1.52,-18.62,22.96,مین حجم ماه=19.35*** مین ارزش ماه =4.49***مین حجم ماه دو=11.97,خرید=1.05*** فروش =0.77
حكشتي,نسبت p/m=189.80*** distance =-66.91,25.43,-3.30,85.99,مین حجم ماه=55.99*** مین ارزش ماه =32.81***مین حجم ماه دو=35.07,خرید=0.50*** فروش =0.50
حآفرين,نسبت p/m=-92.79*** distance =-28.22,4.06,-30.05,53.84,مین حجم ماه=37.87*** مین ارزش ماه =4.65***مین حجم ماه دو=27.80,خرید=0.92*** فروش =0.64
فرود,نسبت p/m=185.24*** distance =-32.23,0.00,-37.36,30.01,مین حجم ماه=18.47*** مین ارزش ماه =4.69***مین حجم ماه دو=6.67,خرید=0.59*** فروش =0.61
بپاس,نسبت p/m=293.32*** distance =-60.05,0.00,-29.67,26.04,مین حجم ماه=51.60*** مین ارزش ماه =34.83***مین حجم ماه دو=14.33,خرید=1.46*** فروش =6.50
فكمند,نسبت p/m=2405.00*** distance =37.08,39.09,-0.31,4.29,مین حجم ماه=1.52*** مین ارزش ماه =2.46***مین حجم ماه دو=1.20,خرید=0.45*** فروش =0.82
وساخت,نسبت p/m=6.01*** distance =-94.50,6.03,-33.63,109.78,مین حجم ماه=55.84*** مین ارزش ماه =5.85***مین حجم ماه دو=19.99,خرید=0.50*** فروش =0.49
تنوين,نسبت p/m=142.77*** distance =-5.79,0.25,-16.52,30.94,مین حجم ماه=16.46*** مین ارزش ماه =2.47***مین حجم ماه دو=8.60,خرید=0.43*** فروش =0.56
كگهر,نسبت p/m=389.35*** distance =-39.27,10.91,-10.30,37.39,مین حجم ماه=19.01*** مین ارزش ماه =11.98***مین حجم ماه دو=5.29,خرید=0.44*** فروش =0.43
وپسا,نسبت p/m=-5.04*** distance =-96.38,9.44,-29.47,10.93,مین حجم ماه=10.13*** مین ارزش ماه =1.32***مین حجم ماه دو=6.13,خرید=1.28*** فروش =1.14
فسپا,نسبت p/m=25.85*** distance =-89.62,23.06,-21.25,16.95,مین حجم ماه=14.16*** مین ارزش ماه =3.40***مین حجم ماه دو=8.87,خرید=0.89*** فروش =0.79
شهر,نسبت p/m=11.72*** distance =-95.06,11.81,-9.46,21.50,مین حجم ماه=26.71*** مین ارزش ماه =6.26***مین حجم ماه دو=24.47,خرید=1.42*** فروش =1.25
قصفها,نسبت p/m=2.65*** distance =-97.62,0.51,-20.91,28.57,مین حجم ماه=30.96*** مین ارزش ماه =3.32***مین حجم ماه دو=32.18,خرید=0.98*** فروش =0.96
وكادو,نسبت p/m=-26.57*** distance =-85.97,14.27,-38.35,13.91,مین حجم ماه=9.48*** مین ارزش ماه =1.71***مین حجم ماه دو=6.86,خرید=0.62*** فروش =0.77
لكما,نسبت p/m=0.00*** distance =-100.00,1.99,-36.22,28.80,مین حجم ماه=29.19*** مین ارزش ماه =2.91***مین حجم ماه دو=11.27,خرید=1.03*** فروش =1.03
سفارس,نسبت p/m=372.16*** distance =-77.97,20.57,-19.39,13.80,مین حجم ماه=11.90*** مین ارزش ماه =19.24***مین حجم ماه دو=10.81,خرید=0.68*** فروش =0.79
فاذر,نسبت p/m=-4.06*** distance =-95.44,2.03,-29.99,56.60,مین حجم ماه=55.22*** مین ارزش ماه =4.56***مین حجم ماه دو=48.91,خرید=0.94*** فروش =0.96
دزهراوي,نسبت p/m=100.34*** distance =-24.10,10.18,-15.55,15.48,مین حجم ماه=8.51*** مین ارزش ماه =1.11***مین حجم ماه دو=4.76,خرید=0.57*** فروش =0.65
درازك,نسبت p/m=13.62*** distance =-87.09,88.24,-25.59,28.36,مین حجم ماه=45.86*** مین ارزش ماه =4.54***مین حجم ماه دو=3.65,خرید=1.01*** فروش =0.94
هرمز,نسبت p/m=165.40*** distance =22.35,8.77,-17.83,23.05,مین حجم ماه=16.07*** مین ارزش ماه =2.12***مین حجم ماه دو=11.57,خرید=0.57*** فروش =1.88
وكغدير,نسبت p/m=-59.72*** distance =-81.93,17.26,-16.77,65.77,مین حجم ماه=56.63*** مین ارزش ماه =17.97***مین حجم ماه دو=10.61,خرید=0.85*** فروش =0.51
پخش,نسبت p/m=169.38*** distance =-70.19,0.34,-21.44,19.93,مین حجم ماه=19.80*** مین ارزش ماه =10.81***مین حجم ماه دو=17.65,خرید=0.86*** فروش =1.15
پارس,نسبت p/m=-70.06*** distance =-74.90,22.51,-21.41,41.75,مین حجم ماه=28.85*** مین ارزش ماه =7.69***مین حجم ماه دو=31.10,خرید=0.69*** فروش =0.53
دلر,نسبت p/m=326.47*** distance =-49.27,78.76,-21.03,14.45,مین حجم ماه=7.22*** مین ارزش ماه =4.62***مین حجم ماه دو=1.99,خرید=0.43*** فروش =0.63
جوين,نسبت p/m=19.11*** distance =-94.52,4.22,-21.31,15.13,مین حجم ماه=9.56*** مین ارزش ماه =3.22***مین حجم ماه دو=5.61,خرید=0.58*** فروش =0.67
كفرا,نسبت p/m=-18.49*** distance =-86.65,1.23,-29.73,76.07,مین حجم ماه=47.23*** مین ارزش ماه =6.03***مین حجم ماه دو=4.39,خرید=0.68*** فروش =0.66
دانا,نسبت p/m=53.23*** distance =-78.95,4.43,-29.02,23.91,مین حجم ماه=21.81*** مین ارزش ماه =5.38***مین حجم ماه دو=15.04,خرید=0.67*** فروش =1.09
پاكشو,نسبت p/m=-71.30*** distance =-86.81,0.54,-19.76,9.68,مین حجم ماه=9.16*** مین ارزش ماه =4.74***مین حجم ماه دو=10.75,خرید=1.91*** فروش =1.11
وسپهر,نسبت p/m=119.76*** distance =-64.71,0.96,-17.81,20.57,مین حجم ماه=16.56*** مین ارزش ماه =5.54***مین حجم ماه دو=9.34,خرید=0.64*** فروش =0.76
پي پاد,نسبت p/m=109.01*** distance =-83.07,1.62,-42.95,20.30,مین حجم ماه=12.95*** مین ارزش ماه =7.61***مین حجم ماه دو=4.44,خرید=0.77*** فروش =0.83
بهپاك,نسبت p/m=-10.36*** distance =-97.89,0.35,-29.34,15.42,مین حجم ماه=10.01*** مین ارزش ماه =4.71***مین حجم ماه دو=7.02,خرید=0.72*** فروش =0.74
رانفور,نسبت p/m=754.06*** distance =60.88,4.92,-8.03,4.60,مین حجم ماه=2.09*** مین ارزش ماه =0.99***مین حجم ماه دو=1.48,خرید=0.55*** فروش =0.73
