نماد,نسبت پول به قیمت,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
وبملت,نسبت p/m=18.71*** distance =-84.73,50.26,-27.24,2278.95,مین حجم ماه=2061.17*** مین ارزش ماه =235.26***مین حجم ماه دو=1729.62,خرید=1.39*** فروش =1.58
خساپا,نسبت p/m=13.12*** distance =-71.77,0.21,-30.03,3103.88,مین حجم ماه=2078.46*** مین ارزش ماه =91.11***مین حجم ماه دو=1583.45,خرید=1.23*** فروش =1.61
خودرو,نسبت p/m=7.18*** distance =-84.97,21.31,-35.34,6576.73,مین حجم ماه=3882.89*** مین ارزش ماه =174.29***مین حجم ماه دو=3330.64,خرید=1.09*** فروش =1.27
وتجارت,نسبت p/m=6.15*** distance =-86.38,3.57,-25.41,2869.55,مین حجم ماه=1780.72*** مین ارزش ماه =76.10***مین حجم ماه دو=1357.59,خرید=1.06*** فروش =1.14
وبصادر,نسبت p/m=3.64*** distance =-93.18,12.50,-22.50,1195.14,مین حجم ماه=817.48*** مین ارزش ماه =41.31***مین حجم ماه دو=586.11,خرید=0.98*** فروش =1.16
شستا,نسبت p/m=-0.63*** distance =-99.57,4.45,-29.20,928.92,مین حجم ماه=867.47*** مین ارزش ماه =120.10***مین حجم ماه دو=465.16,خرید=1.34*** فروش =1.22
ثاخت,نسبت p/m=26.73*** distance =-88.62,91.11,-2.76,341.47,مین حجم ماه=121.76*** مین ارزش ماه =10.15***مین حجم ماه دو=15.18,خرید=0.30*** فروش =0.32
اخابر,نسبت p/m=7.01*** distance =-84.87,17.72,-26.76,746.58,مین حجم ماه=568.85*** مین ارزش ماه =24.68***مین حجم ماه دو=409.39,خرید=1.17*** فروش =1.12
ذوب,نسبت p/m=2.58*** distance =-92.62,4.68,-30.60,1607.67,مین حجم ماه=1184.18*** مین ارزش ماه =39.34***مین حجم ماه دو=804.77,خرید=1.03*** فروش =1.05
شگستر,نسبت p/m=42.65*** distance =-49.40,25.27,-9.02,231.19,مین حجم ماه=194.07*** مین ارزش ماه =16.20***مین حجم ماه دو=100.05,خرید=0.89*** فروش =1.49
فولاد,نسبت p/m=-5.01*** distance =-98.19,13.78,-29.51,847.46,مین حجم ماه=745.65*** مین ارزش ماه =191.11***مین حجم ماه دو=543.91,خرید=1.07*** فروش =0.96
فملي,نسبت p/m=-206.67*** distance =-73.19,2.64,-38.21,632.09,مین حجم ماه=382.87*** مین ارزش ماه =276.27***مین حجم ماه دو=163.85,خرید=0.74*** فروش =0.54
شپنا,نسبت p/m=28.67*** distance =-93.79,4.09,-38.98,611.22,مین حجم ماه=536.03*** مین ارزش ماه =230.93***مین حجم ماه دو=238.30,خرید=0.88*** فروش =0.86
خبهمن,نسبت p/m=104.53*** distance =-36.48,20.50,-23.82,394.21,مین حجم ماه=191.67*** مین ارزش ماه =30.47***مین حجم ماه دو=64.89,خرید=0.50*** فروش =0.52
شتران,نسبت p/m=72.10*** distance =-72.17,2.13,-27.25,759.49,مین حجم ماه=497.60*** مین ارزش ماه =124.61***مین حجم ماه دو=202.68,خرید=0.63*** فروش =0.67
وگردش,نسبت p/m=14.74*** distance =-77.98,77.38,-60.00,573.57,مین حجم ماه=696.56*** مین ارزش ماه =40.70***مین حجم ماه دو=44.75,خرید=1.45*** فروش =1.51
وخاور,نسبت p/m=110.61*** distance =-54.51,39.79,-18.06,117.96,مین حجم ماه=68.70*** مین ارزش ماه =16.38***مین حجم ماه دو=50.25,خرید=0.63*** فروش =0.76
انتخاب,نسبت p/m=117.53*** distance =17.97,8.81,-16.83,143.84,مین حجم ماه=62.35*** مین ارزش ماه =6.30***مین حجم ماه دو=24.64,خرید=0.38*** فروش =0.48
چكاپا,نسبت p/m=14.74*** distance =-86.94,1.24,-23.83,146.01,مین حجم ماه=90.85*** مین ارزش ماه =9.92***مین حجم ماه دو=40.41,خرید=0.76*** فروش =0.69
ونوين,نسبت p/m=132.36*** distance =-67.86,0.00,-26.90,195.30,مین حجم ماه=199.45*** مین ارزش ماه =77.38***مین حجم ماه دو=173.78,خرید=0.85*** فروش =1.04
وشهر,نسبت p/m=3.03*** distance =-98.99,62.25,-18.16,75.68,مین حجم ماه=92.09*** مین ارزش ماه =25.74***مین حجم ماه دو=115.45,خرید=1.06*** فروش =2.07
كاوه,نسبت p/m=54.82*** distance =-84.20,0.55,-33.71,117.56,مین حجم ماه=60.65*** مین ارزش ماه =20.06***مین حجم ماه دو=26.34,خرید=0.54*** فروش =0.51
