نماد,نسبت پول به قیمت,درصد,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
فولاژ,نسبت p/m=265.88*** distance =-23.00,2.99,9.01,-14.18,49.00,مین حجم ماه=21.65*** مین ارزش ماه =7.59***مین حجم ماه دو=2.91,خرید=0.39*** فروش =0.44
انتخاب,نسبت p/m=53.53*** distance =-48.27,0.1,12.08,-11.40,176.38,مین حجم ماه=78.26*** مین ارزش ماه =7.99***مین حجم ماه دو=25.14,خرید=0.47*** فروش =0.45
بترانس,نسبت p/m=7.12*** distance =-98.05,0.93,5.03,-21.83,108.03,مین حجم ماه=82.06*** مین ارزش ماه =28.47***مین حجم ماه دو=39.94,خرید=0.67*** فروش =0.72
وساخت,نسبت p/m=11.00*** distance =-90.52,-0.33,4.44,-35.89,119.78,مین حجم ماه=70.98*** مین ارزش ماه =7.73***مین حجم ماه دو=20.12,خرید=0.66*** فروش =0.68
كاما,نسبت p/m=14.69*** distance =-93.90,-2.26,5.23,-30.19,94.39,مین حجم ماه=65.97*** مین ارزش ماه =14.61***مین حجم ماه دو=42.34,خرید=0.77*** فروش =0.83
وپارس,نسبت p/m=76.92*** distance =-72.49,-0.75,10.87,-21.33,131.70,مین حجم ماه=84.97*** مین ارزش ماه =22.43***مین حجم ماه دو=66.95,خرید=0.62*** فروش =0.62
وخارزم,نسبت p/m=-58.34*** distance =-79.62,1.06,2.95,-33.06,132.12,مین حجم ماه=125.75*** مین ارزش ماه =32.43***مین حجم ماه دو=72.45,خرید=1.19*** فروش =0.98
ثبهساز,نسبت p/m=88.24*** distance =-63.27,0.08,2.50,-24.86,108.72,مین حجم ماه=67.37*** مین ارزش ماه =15.51***مین حجم ماه دو=27.99,خرید=0.61*** فروش =0.64
سمگا,نسبت p/m=52.38*** distance =-82.74,2.98,10.15,-35.70,45.45,مین حجم ماه=40.99*** مین ارزش ماه =11.68***مین حجم ماه دو=47.82,خرید=0.87*** فروش =0.83
شلعاب,نسبت p/m=0.71*** distance =-99.13,-2.95,16.21,-19.13,43.55,مین حجم ماه=27.56*** مین ارزش ماه =2.13***مین حجم ماه دو=17.32,خرید=0.77*** فروش =0.74
پترول,نسبت p/m=-26.43*** distance =-83.49,-1.67,3.96,-21.95,59.48,مین حجم ماه=63.78*** مین ارزش ماه =9.49***مین حجم ماه دو=50.89,خرید=1.40*** فروش =1.48
آباد,نسبت p/m=12.12*** distance =-86.62,1.08,21.21,-16.28,62.28,مین حجم ماه=45.63*** مین ارزش ماه =3.93***مین حجم ماه دو=26.70,خرید=0.75*** فروش =0.84
شمس,نسبت p/m=248.18*** distance =-39.81,3,0.02,-33.23,44.41,مین حجم ماه=21.69*** مین ارزش ماه =8.57***مین حجم ماه دو=11.55,خرید=0.51*** فروش =0.58
وپاسار,نسبت p/m=88.67*** distance =-82.47,-0.21,1.30,-23.38,96.31,مین حجم ماه=86.50*** مین ارزش ماه =41.18***مین حجم ماه دو=171.47,خرید=0.82*** فروش =1.15
وسينا,نسبت p/m=94.09*** distance =-67.63,-1.17,2.75,-18.63,143.71,مین حجم ماه=100.25*** مین ارزش ماه =27.80***مین حجم ماه دو=52.68,خرید=0.52*** فروش =0.59
ثفارس,نسبت p/m=-432.65*** distance =-72.67,2.22,11.44,-25.74,32.44,مین حجم ماه=33.92*** مین ارزش ماه =51.16***مین حجم ماه دو=0.33,خرید=1.07*** فروش =0.86
ورنا,نسبت p/m=52.93*** distance =-90.79,-1.18,3.64,-36.62,91.78,مین حجم ماه=75.04*** مین ارزش ماه =39.89***مین حجم ماه دو=31.34,خرید=0.89*** فروش =0.85
ومعادن,نسبت p/m=-33.36*** distance =-83.34,-0.95,6.71,-29.55,137.44,مین حجم ماه=210.37*** مین ارزش ماه =40.20***مین حجم ماه دو=80.68,خرید=1.76*** فروش =0.98
خكمك,نسبت p/m=34.83*** distance =-85.81,2.99,26.90,-19.09,22.29,مین حجم ماه=14.58*** مین ارزش ماه =3.43***مین حجم ماه دو=8.54,خرید=0.82*** فروش =0.82
شپاكسا,نسبت p/m=-99.16*** distance =-53.56,6.08,27.55,-2.71,29.02,مین حجم ماه=20.06*** مین ارزش ماه =4.12***مین حجم ماه دو=10.39,خرید=0.64*** فروش =0.57
حفاري,نسبت p/m=74.52*** distance =-84.65,0.27,4.72,-30.45,54.47,مین حجم ماه=43.91*** مین ارزش ماه =20.61***مین حجم ماه دو=19.74,خرید=0.74*** فروش =0.70
غنوش,نسبت p/m=217.43*** distance =-71.57,2.98,12.74,-35.68,12.02,مین حجم ماه=9.67*** مین ارزش ماه =6.89***مین حجم ماه دو=6.02,خرید=1.40*** فروش =1.57
هرمز,نسبت p/m=73.53*** distance =-47.30,-1.06,9.87,-15.67,44.46,مین حجم ماه=24.56*** مین ارزش ماه =3.35***مین حجم ماه دو=11.69,خرید=0.56*** فروش =0.63
وفتخار,نسبت p/m=-19.52*** distance =-89.35,-1.37,33.61,-10.33,39.44,مین حجم ماه=21.39*** مین ارزش ماه =3.88***مین حجم ماه دو=7.06,خرید=0.28*** فروش =0.28
خموتور,نسبت p/m=62.98*** distance =-80.66,-0.78,23.47,-25.46,37.71,مین حجم ماه=22.91*** مین ارزش ماه =7.16***مین حجم ماه دو=8.32,خرید=0.70*** فروش =0.58
حفارس,نسبت p/m=-2.13*** distance =-98.98,-1.82,12.76,-3.37,45.17,مین حجم ماه=58.32*** مین ارزش ماه =12.17***مین حجم ماه دو=82.63,خرید=0.92*** فروش =0.99
فرود,نسبت p/m=-41.94*** distance =-85.50,2.87,0.23,-38.88,49.10,مین حجم ماه=24.59*** مین ارزش ماه =6.65***مین حجم ماه دو=6.91,خرید=0.50*** فروش =0.46
وغدير,نسبت p/m=35.22*** distance =-96.47,0.2,6.05,-18.67,67.55,مین حجم ماه=98.71*** مین ارزش ماه =96.17***مین حجم ماه دو=38.37,خرید=1.24*** فروش =1.21
خبنيان,نسبت p/m=-20.32*** distance =-90.44,2.96,0.05,-35.56,48.00,مین حجم ماه=72.35*** مین ارزش ماه =13.82***مین حجم ماه دو=21.25,خرید=1.22*** فروش =1.20
فاراك,نسبت p/m=4.09*** distance =-96.89,0.62,5.09,-24.31,112.25,مین حجم ماه=105.55*** مین ارزش ماه =13.27***مین حجم ماه دو=71.62,خرید=0.82*** فروش =0.75
ختور,نسبت p/m=9.37*** distance =-94.86,2.95,12.47,-36.05,37.72,مین حجم ماه=29.53*** مین ارزش ماه =4.89***مین حجم ماه دو=12.66,خرید=0.96*** فروش =0.90
سبهان,نسبت p/m=39.46*** distance =-89.91,1.62,5.64,-18.37,12.89,مین حجم ماه=8.72*** مین ارزش ماه =3.31***مین حجم ماه دو=7.27,خرید=0.91*** فروش =0.93
حآفرين,نسبت p/m=-47.16*** distance =-65.71,2.94,1.09,-32.48,36.95,مین حجم ماه=39.28*** مین ارزش ماه =4.98***مین حجم ماه دو=29.72,خرید=0.98*** فروش =0.76
خصدرا,نسبت p/m=9.58*** distance =-95.43,-1.2,22.68,-11.86,69.84,مین حجم ماه=89.56*** مین ارزش ماه =18.70***مین حجم ماه دو=1.44,خرید=1.01*** فروش =1.00
وسپه,نسبت p/m=38.13*** distance =-94.41,0.73,3.93,-30.53,31.04,مین حجم ماه=30.76*** مین ارزش ماه =19.74***مین حجم ماه دو=24.08,خرید=0.88*** فروش =0.93
فاذر,نسبت p/m=-4.13*** distance =-95.46,-0.77,4.76,-27.44,66.06,مین حجم ماه=59.82*** مین ارزش ماه =5.07***مین حجم ماه دو=46.12,خرید=0.95*** فروش =0.95
دلقما,نسبت p/m=49.24*** distance =-79.63,2.98,0.19,-29.12,28.39,مین حجم ماه=34.59*** مین ارزش ماه =7.99***مین حجم ماه دو=20.24,خرید=1.14*** فروش =1.31
وصنا,نسبت p/m=-13.58*** distance =-94.75,-2.99,23.42,-0.12,39.95,مین حجم ماه=61.74*** مین ارزش ماه =17.44***مین حجم ماه دو=26.23,خرید=1.40*** فروش =1.31
درازك,نسبت p/m=10.35*** distance =-90.51,2.92,87.23,-28.82,32.31,مین حجم ماه=38.46*** مین ارزش ماه =3.85***مین حجم ماه دو=9.52,خرید=1.38*** فروش =1.44
زملارد,نسبت p/m=0.53*** distance =-99.37,-2.64,8.57,-24.39,42.18,مین حجم ماه=37.93*** مین ارزش ماه =2.95***مین حجم ماه دو=29.33,خرید=1.08*** فروش =1.10
فجهان,نسبت p/m=-0.33*** distance =-99.83,2.96,35.44,-1.51,15.60,مین حجم ماه=12.58*** مین ارزش ماه =2.40***مین حجم ماه دو=14.43,خرید=0.59*** فروش =0.58
وخاور,نسبت p/m=46.89*** distance =-81.21,-1.5,39.31,-19.00,114.98,مین حجم ماه=79.66*** مین ارزش ماه =19.38***مین حجم ماه دو=50.60,خرید=0.58*** فروش =0.59
بهپاك,نسبت p/m=93.96*** distance =-81.66,-2.06,3.06,-32.77,27.05,مین حجم ماه=15.32*** مین ارزش ماه =7.61***مین حجم ماه دو=7.00,خرید=0.51*** فروش =0.58
ونيرو,نسبت p/m=37.19*** distance =-90.76,0.3,37.06,-2.44,105.53,مین حجم ماه=92.32*** مین ارزش ماه =37.61***مین حجم ماه دو=17.65,خرید=0.30*** فروش =0.37
غبشهر,نسبت p/m=86.54*** distance =-64.29,2.97,0.49,-37.63,26.04,مین حجم ماه=16.91*** مین ارزش ماه =3.90***مین حجم ماه دو=7.89,خرید=0.65*** فروش =0.83
سخزر,نسبت p/m=37.23*** distance =-91.57,2.99,7.50,-11.00,18.90,مین حجم ماه=27.64*** مین ارزش ماه =12.11***مین حجم ماه دو=28.75,خرید=1.39*** فروش =1.28
كرازي,نسبت p/m=14.30*** distance =-84.48,-1.18,13.67,-12.12,43.88,مین حجم ماه=47.78*** مین ارزش ماه =4.33***مین حجم ماه دو=39.42,خرید=0.76*** فروش =0.92
فخوز,نسبت p/m=-11.84*** distance =-91.29,1.34,16.75,-27.55,96.53,مین حجم ماه=146.70*** مین ارزش ماه =18.81***مین حجم ماه دو=73.84,خرید=1.39*** فروش =0.97
ورازي,نسبت p/m=-21.43*** distance =-74.91,-2.93,8.51,-32.06,44.72,مین حجم ماه=39.29*** مین ارزش ماه =2.98***مین حجم ماه دو=15.51,خرید=0.99*** فروش =1.03
فرابورس,نسبت p/m=-13.79*** distance =-96.43,0.2,20.33,-18.86,41.17,مین حجم ماه=43.51*** مین ارزش ماه =16.33***مین حجم ماه دو=30.87,خرید=0.91*** فروش =0.88
ثالوند,نسبت p/m=73.15*** distance =-89.09,-2.4,3.29,-62.63,23.91,مین حجم ماه=19.56*** مین ارزش ماه =11.66***مین حجم ماه دو=10.44,خرید=0.87*** فروش =0.87
وجامي,نسبت p/m=-76.41*** distance =-50.01,0.31,3.61,-24.09,22.56,مین حجم ماه=19.19*** مین ارزش ماه =2.79***مین حجم ماه دو=7.52,خرید=1.12*** فروش =0.86
خيمن,نسبت p/m=157.34*** distance =-61.68,0.4,2.27,-32.21,35.41,مین حجم ماه=23.82*** مین ارزش ماه =9.17***مین حجم ماه دو=15.92,خرید=0.64*** فروش =0.90
دالبر,نسبت p/m=102.01*** distance =-73.73,2.98,2.98,-9.35,27.59,مین حجم ماه=28.32*** مین ارزش ماه =11.04***مین حجم ماه دو=11.84,خرید=0.61*** فروش =0.67
شيران,نسبت p/m=-25.25*** distance =-95.28,-1.31,17.81,-11.23,63.91,مین حجم ماه=108.68*** مین ارزش ماه =55.38***مین حجم ماه دو=23.48,خرید=1.65*** فروش =1.70
ولساپا,نسبت p/m=2.90*** distance =-95.57,0.92,4.39,-8.47,59.79,مین حجم ماه=58.68*** مین ارزش ماه =3.73***مین حجم ماه دو=39.69,خرید=0.90*** فروش =0.91
وكادو,نسبت p/m=-116.81*** distance =-42.03,2.97,6.60,-42.40,28.35,مین حجم ماه=13.58*** مین ارزش ماه =2.60***مین حجم ماه دو=6.97,خرید=0.54*** فروش =0.59
والماس,نسبت p/m=24.76*** distance =-89.52,2.98,0.44,-45.14,22.15,مین حجم ماه=12.81*** مین ارزش ماه =2.81***مین حجم ماه دو=4.61,خرید=0.66*** فروش =0.70
اسياتك,نسبت p/m=20.20*** distance =-93.96,1.29,2.07,-32.77,36.92,مین حجم ماه=26.37*** مین ارزش ماه =8.29***مین حجم ماه دو=18.89,خرید=0.80*** فروش =0.67
نوين,نسبت p/m=23.15*** distance =-87.11,-0.54,3.02,-35.78,41.27,مین حجم ماه=27.56*** مین ارزش ماه =4.70***مین حجم ماه دو=14.81,خرید=0.69*** فروش =0.70
كحافظ,نسبت p/m=17.36*** distance =-88.53,2.27,16.70,-36.25,32.27,مین حجم ماه=38.10*** مین ارزش ماه =5.24***مین حجم ماه دو=18.33,خرید=1.67*** فروش =1.41
وسبحان,نسبت p/m=-34.58*** distance =-84.43,-2.01,2.95,-17.14,41.82,مین حجم ماه=27.70*** مین ارزش ماه =6.12***مین حجم ماه دو=11.53,خرید=0.70*** فروش =0.65
بركت,نسبت p/m=48.75*** distance =-78.48,-1.27,12.09,-24.92,70.63,مین حجم ماه=49.73*** مین ارزش ماه =10.53***مین حجم ماه دو=23.71,خرید=0.75*** فروش =0.79
كمنگنز,نسبت p/m=207.10*** distance =-46.22,-0.12,2.06,-35.40,13.05,مین حجم ماه=5.77*** مین ارزش ماه =2.20***مین حجم ماه دو=2.62,خرید=0.50*** فروش =0.68
حخزر,نسبت p/m=-29.31*** distance =-87.96,3,0.23,-45.86,28.18,مین حجم ماه=13.53*** مین ارزش ماه =3.23***مین حجم ماه دو=2.24,خرید=0.56*** فروش =0.45
بجهرم,نسبت p/m=31.60*** distance =-84.38,-0.29,2.52,-27.94,101.10,مین حجم ماه=62.54*** مین ارزش ماه =12.19***مین حجم ماه دو=47.63,خرید=0.56*** فروش =0.62
فايرا,نسبت p/m=-94.44*** distance =-79.80,-3,5.03,-15.00,16.76,مین حجم ماه=20.90*** مین ارزش ماه =9.67***مین حجم ماه دو=2.78,خرید=1.23*** فروش =0.77
فجر,نسبت p/m=5.12*** distance =-98.01,1.15,24.05,-1.30,18.54,مین حجم ماه=10.74*** مین ارزش ماه =2.61***مین حجم ماه دو=10.61,خرید=0.52*** فروش =0.54
وسديد,نسبت p/m=2.24*** distance =-98.74,3,1.54,-62.91,69.08,مین حجم ماه=65.98*** مین ارزش ماه =10.07***مین حجم ماه دو=41.96,خرید=1.10*** فروش =1.12
سيسكو,نسبت p/m=-75.86*** distance =-70.53,1.07,4.66,-28.80,29.83,مین حجم ماه=29.91*** مین ارزش ماه =7.19***مین حجم ماه دو=13.94,خرید=1.00*** فروش =0.89
ختوقا,نسبت p/m=-17.58*** distance =-95.23,-1.69,13.57,-30.16,24.94,مین حجم ماه=17.26*** مین ارزش ماه =5.91***مین حجم ماه دو=13.46,خرید=0.81*** فروش =0.74
سغرب,نسبت p/m=664.67*** distance =-16.95,2.9,12.16,-12.25,13.29,مین حجم ماه=7.76*** مین ارزش ماه =6.27***مین حجم ماه دو=3.07,خرید=0.49*** فروش =0.71
شكام,نسبت p/m=119.22*** distance =-67.17,2.88,0.91,-19.17,36.32,مین حجم ماه=32.02*** مین ارزش ماه =11.40***مین حجم ماه دو=28.86,خرید=0.70*** فروش =0.82
فصبا,نسبت p/m=31.45*** distance =-86.89,-1.45,8.13,-17.50,23.09,مین حجم ماه=20.83*** مین ارزش ماه =4.79***مین حجم ماه دو=11.68,خرید=0.94*** فروش =1.13
ماديرا,نسبت p/m=27.59*** distance =-90.14,-0.58,2.36,-22.78,45.41,مین حجم ماه=27.33*** مین ارزش ماه =7.38***مین حجم ماه دو=16.87,خرید=0.54*** فروش =0.56
فسرب,نسبت p/m=27.63*** distance =-76.17,-0.4,18.88,-29.65,29.41,مین حجم ماه=17.36*** مین ارزش ماه =2.01***مین حجم ماه دو=18.56,خرید=0.49*** فروش =0.58
وآذر,نسبت p/m=-15.62*** distance =-96.08,2.86,12.22,-35.50,7.45,مین حجم ماه=6.27*** مین ارزش ماه =2.29***مین حجم ماه دو=3.36,خرید=1.21*** فروش =1.33
سرچشمه,نسبت p/m=41.17*** distance =-87.44,1.48,18.10,-24.19,27.29,مین حجم ماه=24.09*** مین ارزش ماه =7.64***مین حجم ماه دو=13.88,خرید=0.75*** فروش =0.64
سليم,نسبت p/m=-49.33*** distance =-71.25,-2.63,10.80,-28.35,21.44,مین حجم ماه=18.20*** مین ارزش ماه =2.88***مین حجم ماه دو=11.91,خرید=0.99*** فروش =0.90
وليز,نسبت p/m=-47.63*** distance =-80.63,2.98,0.19,-26.29,28.29,مین حجم ماه=21.03*** مین ارزش ماه =5.01***مین حجم ماه دو=12.62,خرید=0.72*** فروش =0.60
غكورش,نسبت p/m=43.22*** distance =-89.95,2.98,0.04,-30.33,20.03,مین حجم ماه=16.16*** مین ارزش ماه =6.52***مین حجم ماه دو=14.56,خرید=0.71*** فروش =0.78
كماسه,نسبت p/m=37.32*** distance =-89.18,-3,32.87,-23.00,36.97,مین حجم ماه=32.90*** مین ارزش ماه =10.42***مین حجم ماه دو=19.35,خرید=0.85*** فروش =0.92
فن افزار,نسبت p/m=-10.01*** distance =-97.74,-1.14,2.19,-18.08,28.99,مین حجم ماه=20.57*** مین ارزش ماه =8.78***مین حجم ماه دو=17.27,خرید=0.60*** فروش =0.63
بورس,نسبت p/m=-31.62*** distance =-90.19,-0.12,3.53,-34.45,42.83,مین حجم ماه=43.95*** مین ارزش ماه =13.17***مین حجم ماه دو=26.74,خرید=1.11*** فروش =1.01
ولپارس,نسبت p/m=291.05*** distance =8.94,2.5,20.99,-22.16,14.97,مین حجم ماه=6.65*** مین ارزش ماه =1.76***مین حجم ماه دو=1.40,خرید=0.40*** فروش =0.57
الكتروماد,نسبت p/m=50.25*** distance =-87.32,3,5.00,-21.15,31.24,مین حجم ماه=18.90*** مین ارزش ماه =7.28***مین حجم ماه دو=6.19,خرید=0.59*** فروش =0.55
غناب,نسبت p/m=-11.75*** distance =-84.03,-1.91,19.12,-1.55,24.67,مین حجم ماه=20.70*** مین ارزش ماه =1.54***مین حجم ماه دو=24.03,خرید=0.77*** فروش =0.74
فولاي,نسبت p/m=61.80*** distance =-87.00,2.79,5.70,-21.35,15.23,مین حجم ماه=14.70*** مین ارزش ماه =6.66***مین حجم ماه دو=12.47,خرید=0.84*** فروش =1.19
حتوكا,نسبت p/m=172.95*** distance =-23.59,1.38,1.14,-19.13,21.67,مین حجم ماه=9.26*** مین ارزش ماه =2.13***مین حجم ماه دو=4.32,خرید=0.40*** فروش =0.47
دحاوي,نسبت p/m=56.48*** distance =-59.31,2.94,1.00,-32.83,7.75,مین حجم ماه=5.58*** مین ارزش ماه =0.73***مین حجم ماه دو=8.37,خرید=0.98*** فروش =0.92
خديزل,نسبت p/m=-35.72*** distance =-76.47,1.66,4.59,-26.58,53.67,مین حجم ماه=47.63*** مین ارزش ماه =6.91***مین حجم ماه دو=27.55,خرید=0.96*** فروش =0.69
وتوسم,نسبت p/m=95.11*** distance =-64.08,-2.57,3.64,-28.78,13.66,مین حجم ماه=7.03*** مین ارزش ماه =1.79***مین حجم ماه دو=3.38,خرید=0.67*** فروش =0.64
توسن,نسبت p/m=117.98*** distance =-75.74,2.99,18.10,-23.55,18.90,مین حجم ماه=12.59*** مین ارزش ماه =5.93***مین حجم ماه دو=11.29,خرید=0.70*** فروش =0.82
غشهداب,نسبت p/m=-5.32*** distance =-96.20,-2.97,4.55,-22.77,24.34,مین حجم ماه=25.37*** مین ارزش ماه =3.36***مین حجم ماه دو=14.12,خرید=0.63*** فروش =0.60
پرديس,نسبت p/m=30.44*** distance =-81.52,2.88,3.14,-21.99,28.45,مین حجم ماه=25.91*** مین ارزش ماه =4.07***مین حجم ماه دو=22.49,خرید=0.92*** فروش =0.99
ثقزوي,نسبت p/m=-10.08*** distance =-96.60,-2.96,31.10,-1.56,20.59,مین حجم ماه=7.38*** مین ارزش ماه =2.18***مین حجم ماه دو=0.29,خرید=0.28*** فروش =0.30
