نماد,نسبت پول به قیمت,درصد,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
خودرو,نسبت p/m=5.93*** distance =-88.13,-2.08,16.45,-35.60,6672.02,مین حجم ماه=4212.70*** مین ارزش ماه =195.00***مین حجم ماه دو=3297.75,خرید=1.51*** فروش =1.68
خساپا,نسبت p/m=11.23*** distance =-76.78,-2.23,5.10,-29.76,3461.33,مین حجم ماه=2287.75*** مین ارزش ماه =103.93***مین حجم ماه دو=1550.93,خرید=1.37*** فروش =1.57
وبملت,نسبت p/m=-1.60*** distance =-98.69,-0.33,52.04,-22.33,1976.40,مین حجم ماه=2057.94*** مین ارزش ماه =240.01***مین حجم ماه دو=1430.15,خرید=1.58*** فروش =1.49
شتران,نسبت p/m=62.97*** distance =-76.66,2.98,0.04,-34.52,1036.84,مین حجم ماه=626.82*** مین ارزش ماه =162.39***مین حجم ماه دو=203.33,خرید=0.83*** فروش =0.79
وبصادر,نسبت p/m=5.03*** distance =-90.86,1.06,6.49,-30.91,1327.18,مین حجم ماه=983.90*** مین ارزش ماه =51.69***مین حجم ماه دو=551.74,خرید=1.28*** فروش =1.36
ذوب,نسبت p/m=0.43*** distance =-98.82,-0.82,6.23,-28.47,1866.21,مین حجم ماه=1328.11*** مین ارزش ماه =45.21***مین حجم ماه دو=791.31,خرید=1.52*** فروش =1.52
وتجارت,نسبت p/m=-1.44*** distance =-96.86,-0.22,4.41,-24.32,2051.27,مین حجم ماه=1842.34*** مین ارزش ماه =79.98***مین حجم ماه دو=1348.20,خرید=1.59*** فروش =1.37
شپنا,نسبت p/m=-15.70*** distance =-96.64,2.99,1.75,-37.95,532.48,مین حجم ماه=570.60*** مین ارزش ماه =252.54***مین حجم ماه دو=242.71,خرید=1.29*** فروش =1.22
كرمان,نسبت p/m=-24.56*** distance =-73.86,2.91,1.46,-54.82,432.92,مین حجم ماه=240.23*** مین ارزش ماه =20.91***مین حجم ماه دو=106.06,خرید=1.04*** فروش =0.95
ونوين,نسبت p/m=18.12*** distance =-95.77,-2.98,5.56,-23.42,324.87,مین حجم ماه=240.90*** مین ارزش ماه =97.67***مین حجم ماه دو=183.51,خرید=0.93*** فروش =0.93
ثاخت,نسبت p/m=17.30*** distance =-82.26,2.88,90.78,-7.44,546.33,مین حجم ماه=188.52*** مین ارزش ماه =12.53***مین حجم ماه دو=13.89,خرید=0.17*** فروش =0.17
هاي وب,نسبت p/m=15.40*** distance =-54.60,2.81,48.37,-28.98,508.54,مین حجم ماه=305.98*** مین ارزش ماه =9.87***مین حجم ماه دو=172.50,خرید=1.01*** فروش =1.19
دي,نسبت p/m=-5.73*** distance =-92.00,-0.94,3.12,-29.07,436.76,مین حجم ماه=352.27*** مین ارزش ماه =23.31***مین حجم ماه دو=128.05,خرید=1.01*** فروش =1.06
فولاد,نسبت p/m=-21.89*** distance =-92.09,-0.44,16.22,-25.85,660.74,مین حجم ماه=766.06*** مین ارزش ماه =200.28***مین حجم ماه دو=549.34,خرید=1.53*** فروش =1.32
اخابر,نسبت p/m=-1.49*** distance =-96.80,0,19.30,-24.32,606.79,مین حجم ماه=600.17*** مین ارزش ماه =26.34***مین حجم ماه دو=388.37,خرید=1.53*** فروش =1.33
خزاميا,نسبت p/m=7.55*** distance =-95.71,-2.8,16.71,-36.46,422.12,مین حجم ماه=330.17*** مین ارزش ماه =53.21***مین حجم ماه دو=173.59,خرید=1.02*** فروش =1.04
كيسون,نسبت p/m=9.62*** distance =-94.51,-2.98,39.03,-4.77,490.36,مین حجم ماه=348.72*** مین ارزش ماه =60.02***مین حجم ماه دو=5.27,خرید=0.55*** فروش =0.54
وساپا,نسبت p/m=213.93*** distance =-58.61,3,0.90,-51.86,330.06,مین حجم ماه=181.15*** مین ارزش ماه =86.66***مین حجم ماه دو=103.60,خرید=0.67*** فروش =0.72
تپكو,نسبت p/m=3.31*** distance =-91.67,-2.96,22.59,-25.48,192.99,مین حجم ماه=197.63*** مین ارزش ماه =7.33***مین حجم ماه دو=94.82,خرید=1.24*** فروش =1.26
شفارس,نسبت p/m=74.38*** distance =-57.14,2.95,14.28,-13.04,59.21,مین حجم ماه=51.42*** مین ارزش ماه =8.79***مین حجم ماه دو=24.71,خرید=1.03*** فروش =1.12
شپلي,نسبت p/m=31.20*** distance =-79.94,-2.97,6.22,-14.50,198.13,مین حجم ماه=141.53*** مین ارزش ماه =21.45***مین حجم ماه دو=117.41,خرید=0.73*** فروش =0.79
خبهمن,نسبت p/m=44.95*** distance =-73.23,-2.18,21.54,-22.20,358.88,مین حجم ماه=239.60*** مین ارزش ماه =38.79***مین حجم ماه دو=61.20,خرید=0.68*** فروش =0.65
ميدكو,نسبت p/m=560.33*** distance =30.82,-2.99,3.51,-21.20,198.41,مین حجم ماه=69.92*** مین ارزش ماه =30.92***مین حجم ماه دو=11.40,خرید=0.35*** فروش =0.37
دزهراوي,نسبت p/m=158.76*** distance =15.71,2.98,4.73,-22.57,46.46,مین حجم ماه=20.09*** مین ارزش ماه =2.77***مین حجم ماه دو=4.63,خرید=0.53*** فروش =0.72
كالا,نسبت p/m=-49.20*** distance =-92.93,0.7,16.78,-44.22,116.23,مین حجم ماه=95.47*** مین ارزش ماه =62.79***مین حجم ماه دو=51.10,خرید=1.11*** فروش =0.97
خگستر,نسبت p/m=0.93*** distance =-99.76,-2.2,9.39,-34.06,258.67,مین حجم ماه=211.88*** مین ارزش ماه =75.75***مین حجم ماه دو=113.16,خرید=1.00*** فروش =0.98
خپارس,نسبت p/m=1.13*** distance =-98.49,-1.96,19.61,-22.09,178.90,مین حجم ماه=173.31*** مین ارزش ماه =11.96***مین حجم ماه دو=82.66,خرید=1.05*** فروش =1.00
شگستر,نسبت p/m=34.87*** distance =-59.08,0.47,21.23,-10.44,276.01,مین حجم ماه=209.75*** مین ارزش ماه =17.59***مین حجم ماه دو=97.33,خرید=0.74*** فروش =1.09
كچاد,نسبت p/m=67.21*** distance =-73.26,-1.84,4.57,-44.23,370.92,مین حجم ماه=180.76*** مین ارزش ماه =42.71***مین حجم ماه دو=47.47,خرید=0.58*** فروش =0.46
فملي,نسبت p/m=-131.26*** distance =-83.07,0.77,1.88,-36.47,332.08,مین حجم ماه=398.00*** مین ارزش ماه =293.06***مین حجم ماه دو=161.91,خرید=1.30*** فروش =0.93
خاور,نسبت p/m=7.08*** distance =-93.70,-2.94,30.50,-26.27,220.82,مین حجم ماه=180.86*** مین ارزش ماه =18.70***مین حجم ماه دو=167.29,خرید=0.98*** فروش =0.92
كگل,نسبت p/m=0.36*** distance =-99.82,-1.99,7.46,-22.94,154.45,مین حجم ماه=183.26*** مین ارزش ماه =35.52***مین حجم ماه دو=62.46,خرید=1.09*** فروش =0.84
غزر,نسبت p/m=-1.91*** distance =-99.20,3,3.51,-33.08,78.32,مین حجم ماه=73.15*** مین ارزش ماه =16.08***مین حجم ماه دو=82.14,خرید=1.07*** فروش =1.00
شهر,نسبت p/m=98.79*** distance =-57.70,2.97,11.17,-7.73,34.21,مین حجم ماه=30.71*** مین ارزش ماه =7.23***مین حجم ماه دو=22.12,خرید=1.27*** فروش =1.31
خكار,نسبت p/m=32.88*** distance =-79.09,2.97,0.24,-31.56,58.55,مین حجم ماه=39.44*** مین ارزش ماه =5.92***مین حجم ماه دو=18.15,خرید=0.80*** فروش =0.82
دارو,نسبت p/m=86.48*** distance =-52.06,2.97,92.67,-38.95,35.96,مین حجم ماه=35.41*** مین ارزش ماه =5.79***مین حجم ماه دو=18.14,خرید=1.07*** فروش =1.38
چكاپا,نسبت p/m=10.34*** distance =-91.06,-1.99,7.14,-17.31,150.68,مین حجم ماه=100.29*** مین ارزش ماه =11.08***مین حجم ماه دو=40.53,خرید=0.69*** فروش =0.65
