نماد,نسبت پول به قیمت,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
كفپارس,نسبت p/m=17.16*** distance =-92.49,7.64,-19.11,9.04,مین حجم ماه=6.64*** مین ارزش ماه =1.46***مین حجم ماه دو=7.56,خرید=0.81*** فروش =0.88
قچار,نسبت p/m=-175.73*** distance =-48.02,9.45,-30.99,15.85,مین حجم ماه=9.40*** مین ارزش ماه =3.04***مین حجم ماه دو=4.76,خرید=0.65*** فروش =0.57
درازك,نسبت p/m=10.07*** distance =-90.56,87.90,-29.23,26.05,مین حجم ماه=46.97*** مین ارزش ماه =4.55***مین حجم ماه دو=3.66,خرید=1.54*** فروش =1.50
البرز,نسبت p/m=99.18*** distance =-55.04,13.80,-11.32,67.65,مین حجم ماه=36.31*** مین ارزش ماه =7.94***مین حجم ماه دو=17.42,خرید=0.69*** فروش =0.78
كحافظ,نسبت p/m=18.78*** distance =-87.33,65.49,-33.39,29.12,مین حجم ماه=37.92*** مین ارزش ماه =5.13***مین حجم ماه دو=19.86,خرید=1.53*** فروش =1.73
كوثر,نسبت p/m=16.41*** distance =-91.64,10.76,-27.17,51.46,مین حجم ماه=47.94*** مین ارزش ماه =8.81***مین حجم ماه دو=27.95,خرید=0.84*** فروش =0.73
ولنوين,نسبت p/m=73.69*** distance =-70.77,5.42,-23.27,10.77,مین حجم ماه=9.28*** مین ارزش ماه =2.29***مین حجم ماه دو=9.66,خرید=0.99*** فروش =1.19
قشرين,نسبت p/m=7.05*** distance =-96.90,32.77,-14.67,23.30,مین حجم ماه=8.26*** مین ارزش ماه =1.84***مین حجم ماه دو=3.14,خرید=0.32*** فروش =0.32
شكام,نسبت p/m=68.32*** distance =-80.88,1.14,-14.36,30.53,مین حجم ماه=29.65*** مین ارزش ماه =10.37***مین حجم ماه دو=28.38,خرید=0.81*** فروش =0.95
والبر,نسبت p/m=30.93*** distance =-83.13,5.84,-22.33,25.11,مین حجم ماه=16.52*** مین ارزش ماه =2.92***مین حجم ماه دو=10.68,خرید=0.54*** فروش =0.67
ختوقا,نسبت p/m=20.23*** distance =-94.41,9.43,-36.41,20.15,مین حجم ماه=16.71*** مین ارزش ماه =5.58***مین حجم ماه دو=13.04,خرید=0.89*** فروش =0.88
وفتخار,نسبت p/m=27.67*** distance =-84.68,35.56,-7.10,53.51,مین حجم ماه=18.10*** مین ارزش ماه =3.25***مین حجم ماه دو=7.36,خرید=0.26*** فروش =0.26
فزر,نسبت p/m=570.06*** distance =-92.94,4.81,-18.29,31.49,مین حجم ماه=32.54*** مین ارزش ماه =256.42***مین حجم ماه دو=21.49,خرید=0.96*** فروش =0.93
وصنا,نسبت p/m=-10.26*** distance =-96.12,18.92,-2.75,45.78,مین حجم ماه=65.08*** مین ارزش ماه =18.52***مین حجم ماه دو=24.41,خرید=1.18*** فروش =1.12
كوير,نسبت p/m=-23.32*** distance =-83.03,2.33,-23.18,14.11,مین حجم ماه=15.29*** مین ارزش ماه =1.99***مین حجم ماه دو=11.38,خرید=1.27*** فروش =1.01
غمارگ,نسبت p/m=-19.52*** distance =-78.92,14.04,-27.60,32.16,مین حجم ماه=15.45*** مین ارزش ماه =1.35***مین حجم ماه دو=10.62,خرید=0.55*** فروش =0.53
دالبر,نسبت p/m=157.07*** distance =-59.33,4.39,-7.75,37.28,مین حجم ماه=27.09*** مین ارزش ماه =10.54***مین حجم ماه دو=11.74,خرید=0.56*** فروش =0.64
تكنو,نسبت p/m=-22.86*** distance =-88.13,11.11,-17.21,14.29,مین حجم ماه=16.54*** مین ارزش ماه =2.99***مین حجم ماه دو=6.84,خرید=1.24*** فروش =1.00
چدن,نسبت p/m=3.41*** distance =-97.75,5.16,-26.30,43.71,مین حجم ماه=42.11*** مین ارزش ماه =5.90***مین حجم ماه دو=23.99,خرید=0.97*** فروش =1.11
فسازان,نسبت p/m=22.83*** distance =-94.62,3.20,-39.41,24.80,مین حجم ماه=29.95*** مین ارزش ماه =11.33***مین حجم ماه دو=6.45,خرید=1.37*** فروش =1.26
وبانك,نسبت p/m=249.52*** distance =-63.63,25.76,-19.76,19.88,مین حجم ماه=18.23*** مین ارزش ماه =12.13***مین حجم ماه دو=14.85,خرید=0.75*** فروش =0.93
وپايا,نسبت p/m=14.47*** distance =-87.03,6.32,-22.07,42.46,مین حجم ماه=25.57*** مین ارزش ماه =2.76***مین حجم ماه دو=16.78,خرید=0.67*** فروش =0.60
كگهر,نسبت p/m=134.02*** distance =-79.27,9.69,-11.82,31.33,مین حجم ماه=19.96*** مین ارزش ماه =12.61***مین حجم ماه دو=5.10,خرید=0.45*** فروش =0.43
والماس,نسبت p/m=-0.57*** distance =-99.75,0.21,-41.28,15.73,مین حجم ماه=10.44*** مین ارزش ماه =2.20***مین حجم ماه دو=4.58,خرید=0.70*** فروش =0.74
لسرما,نسبت p/m=-27.29*** distance =-93.87,25.97,-11.92,12.46,مین حجم ماه=8.54*** مین ارزش ماه =3.90***مین حجم ماه دو=6.04,خرید=0.72*** فروش =0.70
الكتروماد,نسبت p/m=55.46*** distance =-85.26,9.90,-14.91,25.65,مین حجم ماه=16.36*** مین ارزش ماه =6.22***مین حجم ماه دو=6.33,خرید=0.72*** فروش =0.68
كاسپين,نسبت p/m=141.87*** distance =-85.03,82.27,-28.96,12.64,مین حجم ماه=14.34*** مین ارزش ماه =12.69***مین حجم ماه دو=5.82,خرید=0.96*** فروش =1.29
حخزر,نسبت p/m=218.14*** distance =-6.33,5.49,-37.85,7.59,مین حجم ماه=6.30*** مین ارزش ماه =1.35***مین حجم ماه دو=2.23,خرید=0.88*** فروش =4.44
پاكشو,نسبت p/m=-115.04*** distance =-78.95,1.05,-21.91,11.57,مین حجم ماه=9.40*** مین ارزش ماه =4.94***مین حجم ماه دو=10.78,خرید=1.69*** فروش =1.60
سليم,نسبت p/m=-18.26*** distance =-89.04,9.21,-31.37,19.93,مین حجم ماه=17.15*** مین ارزش ماه =2.65***مین حجم ماه دو=12.14,خرید=0.86*** فروش =0.87
وصندوق,نسبت p/m=1079.42*** distance =-30.23,24.21,-23.90,31.27,مین حجم ماه=18.59*** مین ارزش ماه =28.14***مین حجم ماه دو=8.57,خرید=0.48*** فروش =0.54
وليز,نسبت p/m=-88.31*** distance =-63.18,0.71,-21.23,25.22,مین حجم ماه=20.19*** مین ارزش ماه =4.71***مین حجم ماه دو=11.98,خرید=0.89*** فروش =0.71
ولبهمن,نسبت p/m=87.30*** distance =-64.63,2.36,-25.24,33.27,مین حجم ماه=15.00*** مین ارزش ماه =3.63***مین حجم ماه دو=5.53,خرید=0.41*** فروش =0.40
داتام,نسبت p/m=29.71*** distance =-87.05,1.24,-53.80,12.98,مین حجم ماه=10.10*** مین ارزش ماه =2.08***مین حجم ماه دو=3.65,خرید=0.95*** فروش =0.86
وتوسم,نسبت p/m=135.63*** distance =-47.15,0.00,-33.95,9.19,مین حجم ماه=5.96*** مین ارزش ماه =1.46***مین حجم ماه دو=3.15,خرید=0.76*** فروش =0.89
وسپه,نسبت p/m=-29.36*** distance =-95.70,3.79,-32.50,35.21,مین حجم ماه=30.93*** مین ارزش ماه =19.47***مین حجم ماه دو=23.58,خرید=0.86*** فروش =0.91
خريخت,نسبت p/m=45.17*** distance =-54.63,7.50,-14.04,10.99,مین حجم ماه=7.42*** مین ارزش ماه =0.73***مین حجم ماه دو=3.48,خرید=0.68*** فروش =0.80
خمحركه,نسبت p/m=-16.43*** distance =-95.65,17.88,-28.09,17.17,مین حجم ماه=13.06*** مین ارزش ماه =4.64***مین حجم ماه دو=10.54,خرید=0.77*** فروش =0.75
بنيرو,نسبت p/m=83.83*** distance =-75.73,2.70,-29.90,19.07,مین حجم ماه=11.75*** مین ارزش ماه =3.84***مین حجم ماه دو=9.97,خرید=0.54*** فروش =0.88
وتوصا,نسبت p/m=17.21*** distance =-90.04,0.22,-24.69,14.32,مین حجم ماه=13.31*** مین ارزش ماه =2.21***مین حجم ماه دو=11.20,خرید=0.67*** فروش =0.92
ثنام,نسبت p/m=0.00*** distance =-100.00,19.94,-20.85,12.03,مین حجم ماه=9.85*** مین ارزش ماه =1.53***مین حجم ماه دو=4.98,خرید=0.89*** فروش =0.89
وبهمن,نسبت p/m=213.19*** distance =14.74,56.93,-21.67,40.49,مین حجم ماه=17.38*** مین ارزش ماه =3.27***مین حجم ماه دو=7.98,خرید=0.36*** فروش =0.43
فزرين,نسبت p/m=109.16*** distance =-58.10,5.79,-28.08,5.32,مین حجم ماه=3.28*** مین ارزش ماه =0.83***مین حجم ماه دو=2.30,خرید=0.90*** فروش =1.31
ومعلم,نسبت p/m=152.58*** distance =-38.24,16.39,-11.87,9.30,مین حجم ماه=4.72*** مین ارزش ماه =1.17***مین حجم ماه دو=3.55,خرید=0.51*** فروش =0.67
وسكاب,نسبت p/m=56.11*** distance =-77.68,0.15,-31.64,14.57,مین حجم ماه=11.24*** مین ارزش ماه =2.63***مین حجم ماه دو=4.33,خرید=0.80*** فروش =0.90
حتايد,نسبت p/m=143.13*** distance =-77.57,21.72,-20.14,18.13,مین حجم ماه=19.77*** مین ارزش ماه =12.36***مین حجم ماه دو=7.96,خرید=0.45*** فروش =0.57
نيان,نسبت p/m=-10.15*** distance =-98.43,21.91,-16.32,21.42,مین حجم ماه=30.04*** مین ارزش ماه =18.89***مین حجم ماه دو=7.95,خرید=1.22*** فروش =0.91
توسن,نسبت p/m=59.09*** distance =-87.75,22.46,-16.97,14.22,مین حجم ماه=10.96*** مین ارزش ماه =5.05***مین حجم ماه دو=12.05,خرید=0.63*** فروش =0.69
وسالت,نسبت p/m=-88.01*** distance =-79.62,22.86,-21.69,8.49,مین حجم ماه=7.72*** مین ارزش ماه =3.18***مین حجم ماه دو=7.63,خرید=1.01*** فروش =1.07
ولپارس,نسبت p/m=314.28*** distance =23.19,24.88,-16.14,9.94,مین حجم ماه=4.62*** مین ارزش ماه =1.18***مین حجم ماه دو=1.45,خرید=0.41*** فروش =0.54
بفجر,نسبت p/m=269.20*** distance =-79.77,11.65,-27.26,11.53,مین حجم ماه=12.40*** مین ارزش ماه =15.94***مین حجم ماه دو=5.36,خرید=1.07*** فروش =1.11
كايزد,نسبت p/m=46.11*** distance =-90.87,27.22,-6.05,17.98,مین حجم ماه=14.33*** مین ارزش ماه =7.27***مین حجم ماه دو=1.40,خرید=0.68*** فروش =0.68
سيسكو,نسبت p/m=-45.93*** distance =-82.18,3.05,-30.98,34.29,مین حجم ماه=28.46*** مین ارزش ماه =6.74***مین حجم ماه دو=14.11,خرید=0.64*** فروش =0.63
وپسا,نسبت p/m=-6.61*** distance =-95.35,11.84,-26.03,11.79,مین حجم ماه=10.55*** مین ارزش ماه =1.40***مین حجم ماه دو=6.22,خرید=0.94*** فروش =0.85
نوري,نسبت p/m=466.18*** distance =-89.42,3.57,-40.34,17.08,مین حجم ماه=17.05*** مین ارزش ماه =67.64***مین حجم ماه دو=13.37,خرید=0.89*** فروش =0.96
قثابت,نسبت p/m=1.00*** distance =-99.45,2.16,-30.55,25.80,مین حجم ماه=19.46*** مین ارزش ماه =3.31***مین حجم ماه دو=17.58,خرید=0.78*** فروش =0.79
غكورش,نسبت p/m=-29.46*** distance =-92.86,0.07,-27.66,14.60,مین حجم ماه=14.36*** مین ارزش ماه =5.58***مین حجم ماه دو=14.45,خرید=1.18*** فروش =1.05
شسينا,نسبت p/m=-98.54*** distance =-63.55,2.03,-27.89,10.98,مین حجم ماه=9.39*** مین ارزش ماه =2.36***مین حجم ماه دو=8.76,خرید=0.96*** فروش =0.96
ميهن,نسبت p/m=96.48*** distance =-79.57,0.91,-47.40,13.00,مین حجم ماه=9.51*** مین ارزش ماه =4.03***مین حجم ماه دو=6.43,خرید=0.80*** فروش =0.84
سرود,نسبت p/m=54.53*** distance =-92.90,2.07,-38.93,14.64,مین حجم ماه=22.06*** مین ارزش ماه =15.35***مین حجم ماه دو=17.07,خرید=1.47*** فروش =1.12
بمولد,نسبت p/m=104.17*** distance =-80.20,2.70,-16.70,13.84,مین حجم ماه=6.66*** مین ارزش ماه =3.46***مین حجم ماه دو=6.54,خرید=0.41*** فروش =0.44
ساوه,نسبت p/m=263.93*** distance =-68.58,13.19,-7.46,7.72,مین حجم ماه=7.22*** مین ارزش ماه =6.04***مین حجم ماه دو=5.98,خرید=0.70*** فروش =0.80
شبريز,نسبت p/m=292.94*** distance =-87.19,3.66,-35.14,24.06,مین حجم ماه=17.07*** مین ارزش ماه =36.38***مین حجم ماه دو=8.51,خرید=0.75*** فروش =0.88
تفارس,نسبت p/m=-22.28*** distance =-82.94,4.84,-11.24,8.89,مین حجم ماه=6.04*** مین ارزش ماه =0.78***مین حجم ماه دو=7.94,خرید=0.88*** فروش =1.10
وجامي,نسبت p/m=-45.64*** distance =-68.79,0.25,-27.82,16.51,مین حجم ماه=17.19*** مین ارزش ماه =2.46***مین حجم ماه دو=7.42,خرید=0.64*** فروش =0.72
سخزر,نسبت p/m=33.22*** distance =-92.42,10.29,-7.65,18.42,مین حجم ماه=27.60*** مین ارزش ماه =12.06***مین حجم ماه دو=28.33,خرید=1.16*** فروش =1.08
آسيا,نسبت p/m=-38.05*** distance =-74.14,2.60,-26.50,24.62,مین حجم ماه=15.28*** مین ارزش ماه =2.14***مین حجم ماه دو=9.68,خرید=0.66*** فروش =0.64
غپاك,نسبت p/m=12.81*** distance =-87.63,10.31,-21.92,11.82,مین حجم ماه=9.69*** مین ارزش ماه =0.95***مین حجم ماه دو=13.28,خرید=0.83*** فروش =0.87
تملت,نسبت p/m=259.68*** distance =51.54,0.99,-13.31,11.56,مین حجم ماه=4.76*** مین ارزش ماه =0.82***مین حجم ماه دو=1.42,خرید=0.35*** فروش =0.58
زقيام,نسبت p/m=29.40*** distance =-93.19,2.92,-22.95,10.71,مین حجم ماه=9.04*** مین ارزش ماه =3.67***مین حجم ماه دو=6.79,خرید=1.08*** فروش =1.33
شجم,نسبت p/m=156.59*** distance =-82.45,19.22,-15.68,4.00,مین حجم ماه=2.92*** مین ارزش ماه =2.65***مین حجم ماه دو=3.18,خرید=1.00*** فروش =1.29
زفكا,نسبت p/m=34.79*** distance =-90.64,3.13,-17.69,20.16,مین حجم ماه=22.37*** مین ارزش ماه =8.21***مین حجم ماه دو=19.51,خرید=0.93*** فروش =1.04
آبين,نسبت p/m=-64.17*** distance =-73.46,6.68,-27.07,5.91,مین حجم ماه=4.59*** مین ارزش ماه =1.03***مین حجم ماه دو=3.73,خرید=0.85*** فروش =0.87
غناب,نسبت p/m=-6.39*** distance =-91.35,16.20,-5.23,26.03,مین حجم ماه=20.38*** مین ارزش ماه =1.52***مین حجم ماه دو=23.54,خرید=0.59*** فروش =0.62
حگردش,نسبت p/m=-1.03*** distance =-99.50,27.26,-8.11,26.15,مین حجم ماه=9.14*** مین ارزش ماه =1.88***مین حجم ماه دو=9.17,خرید=0.30*** فروش =0.30
آردينه,نسبت p/m=219.90*** distance =-87.19,9.27,-8.66,11.84,مین حجم ماه=8.76*** مین ارزش ماه =15.17***مین حجم ماه دو=4.37,خرید=0.70*** فروش =0.76
بمپنا,نسبت p/m=200.23*** distance =-53.01,0.09,-20.49,14.70,مین حجم ماه=11.59*** مین ارزش ماه =4.79***مین حجم ماه دو=6.66,خرید=0.53*** فروش =1.07
سرچشمه,نسبت p/m=77.20*** distance =-76.63,16.51,-26.61,41.86,مین حجم ماه=23.69*** مین ارزش ماه =7.43***مین حجم ماه دو=13.23,خرید=0.49*** فروش =0.45
وملل,نسبت p/m=27.54*** distance =-88.16,4.60,-8.31,6.56,مین حجم ماه=8.85*** مین ارزش ماه =2.09***مین حجم ماه دو=14.07,خرید=1.34*** فروش =1.82
اطلس,نسبت p/m=194.26*** distance =-97.18,2.48,-24.04,11.95,مین حجم ماه=10.40*** مین ارزش ماه =69.02***مین حجم ماه دو=5.95,خرید=0.97*** فروش =0.89
كترام,نسبت p/m=8.89*** distance =-95.43,50.60,-17.19,10.00,مین حجم ماه=9.62*** مین ارزش ماه =1.80***مین حجم ماه دو=5.69,خرید=0.86*** فروش =0.80
فروي,نسبت p/m=81.62*** distance =-71.20,0.61,-34.11,10.60,مین حجم ماه=9.50*** مین ارزش ماه =2.49***مین حجم ماه دو=3.31,خرید=0.82*** فروش =1.33
خفنر,نسبت p/m=3.55*** distance =-97.24,53.94,-17.51,13.00,مین حجم ماه=17.65*** مین ارزش ماه =2.24***مین حجم ماه دو=5.18,خرید=1.19*** فروش =1.26
غبشهر,نسبت p/m=124.35*** distance =-46.22,0.00,-30.77,10.25,مین حجم ماه=11.82*** مین ارزش ماه =2.55***مین حجم ماه دو=8.37,خرید=1.26*** فروش =2.65
شتوكا,نسبت p/m=941.02*** distance =32.22,0.00,-13.72,3.16,مین حجم ماه=1.91*** مین ارزش ماه =1.37***مین حجم ماه دو=0.64,خرید=0.84*** فروش =1.38
خاذين,نسبت p/m=31.74*** distance =-82.03,8.63,-28.76,10.10,مین حجم ماه=8.78*** مین ارزش ماه =1.44***مین حجم ماه دو=5.62,خرید=0.80*** فروش =0.84
غويتا,نسبت p/m=28.87*** distance =-86.87,12.04,-18.11,14.02,مین حجم ماه=9.18*** مین ارزش ماه =1.95***مین حجم ماه دو=11.32,خرید=0.62*** فروش =0.57
اخشان,نسبت p/m=82.99*** distance =-90.49,4.03,-32.63,5.10,مین حجم ماه=2.93*** مین ارزش ماه =2.43***مین حجم ماه دو=1.22,خرید=0.59*** فروش =0.58
مهر,نسبت p/m=27.48*** distance =-91.86,7.73,-20.59,9.23,مین حجم ماه=11.24*** مین ارزش ماه =3.71***مین حجم ماه دو=9.94,خرید=1.26*** فروش =1.22
شگل,نسبت p/m=284.18*** distance =-5.98,0.83,-29.22,5.61,مین حجم ماه=3.30*** مین ارزش ماه =0.97***مین حجم ماه دو=1.57,خرید=0.60*** فروش =0.87
فسپا,نسبت p/m=43.13*** distance =-82.84,22.55,-22.05,16.01,مین حجم ماه=14.57*** مین ارزش ماه =3.51***مین حجم ماه دو=8.76,خرید=0.76*** فروش =0.75
ونيكي,نسبت p/m=137.88*** distance =-72.94,2.96,-20.24,44.88,مین حجم ماه=20.23*** مین ارزش ماه =10.29***مین حجم ماه دو=6.27,خرید=0.41*** فروش =0.49
وپست,نسبت p/m=273.64*** distance =-61.65,5.73,-34.06,28.70,مین حجم ماه=22.77*** مین ارزش ماه =14.90***مین حجم ماه دو=26.34,خرید=0.66*** فروش =0.98
ملت,نسبت p/m=86.34*** distance =-74.28,17.45,-6.75,4.48,مین حجم ماه=3.77*** مین ارزش ماه =1.29***مین حجم ماه دو=1.39,خرید=0.94*** فروش =0.92
غدشت,نسبت p/m=0.89*** distance =-99.73,0.11,-28.38,11.65,مین حجم ماه=7.35*** مین ارزش ماه =2.31***مین حجم ماه دو=2.44,خرید=0.54*** فروش =0.58
دتوليد,نسبت p/m=124.80*** distance =-43.91,5.10,-25.29,23.76,مین حجم ماه=16.97*** مین ارزش ماه =3.58***مین حجم ماه دو=5.32,خرید=0.67*** فروش =0.78
خديزل,نسبت p/m=-10.71*** distance =-92.96,4.59,-26.58,66.96,مین حجم ماه=48.06*** مین ارزش ماه =6.90***مین حجم ماه دو=26.93,خرید=0.74*** فروش =0.59
فصبا,نسبت p/m=50.44*** distance =-78.84,7.45,-19.32,22.94,مین حجم ماه=20.00*** مین ارزش ماه =4.57***مین حجم ماه دو=12.36,خرید=0.86*** فروش =1.09
مهرمام,نسبت p/m=77.93*** distance =-85.25,2.37,-25.12,21.21,مین حجم ماه=13.86*** مین ارزش ماه =6.97***مین حجم ماه دو=10.51,خرید=0.70*** فروش =0.74
وبشهر,نسبت p/m=10.37*** distance =-98.19,4.44,-29.16,10.06,مین حجم ماه=8.04*** مین ارزش ماه =4.30***مین حجم ماه دو=6.18,خرید=0.66*** فروش =0.76
هجرت,نسبت p/m=28.96*** distance =-85.44,94.86,-20.35,33.72,مین حجم ماه=27.02*** مین ارزش ماه =5.07***مین حجم ماه دو=16.45,خرید=0.55*** فروش =0.70
خمهر,نسبت p/m=0.35*** distance =-99.83,4.16,-30.54,13.25,مین حجم ماه=16.04*** مین ارزش ماه =2.91***مین حجم ماه دو=12.52,خرید=1.18*** فروش =1.18
بكام,نسبت p/m=5.47*** distance =-97.87,13.03,-26.15,18.15,مین حجم ماه=17.04*** مین ارزش ماه =4.08***مین حجم ماه دو=6.65,خرید=0.87*** فروش =0.94
قنيشا,نسبت p/m=62.53*** distance =-71.47,2.77,-18.42,8.98,مین حجم ماه=7.24*** مین ارزش ماه =1.55***مین حجم ماه دو=5.82,خرید=0.76*** فروش =1.00
ثتران,نسبت p/m=41.96*** distance =-91.42,0.06,-26.37,5.54,مین حجم ماه=5.55*** مین ارزش ماه =2.58***مین حجم ماه دو=3.67,خرید=1.01*** فروش =1.08
غمينو,نسبت p/m=30.91*** distance =-90.73,0.09,-36.52,10.33,مین حجم ماه=9.11*** مین ارزش ماه =2.82***مین حجم ماه دو=6.42,خرید=0.88*** فروش =0.91
پارس,نسبت p/m=-118.32*** distance =-57.75,22.40,-21.58,36.61,مین حجم ماه=28.83*** مین ارزش ماه =7.71***مین حجم ماه دو=30.47,خرید=0.73*** فروش =0.52
ثقزوي,نسبت p/m=-19.19*** distance =-93.76,27.97,-5.20,15.11,مین حجم ماه=5.51*** مین ارزش ماه =1.65***مین حجم ماه دو=0.27,خرید=0.28*** فروش =0.31
دماوند,نسبت p/m=78.62*** distance =-90.36,1.61,-33.18,21.33,مین حجم ماه=16.23*** مین ارزش ماه =12.44***مین حجم ماه دو=6.82,خرید=0.72*** فروش =0.91
فنر,نسبت p/m=135.62*** distance =-52.64,0.03,-27.66,7.98,مین حجم ماه=5.74*** مین ارزش ماه =1.55***مین حجم ماه دو=4.04,خرید=0.58*** فروش =0.73
نان,نسبت p/m=2.87*** distance =-99.10,12.30,-10.39,18.80,مین حجم ماه=18.49*** مین ارزش ماه =5.82***مین حجم ماه دو=27.48,خرید=0.92*** فروش =0.90
ستران,نسبت p/m=203.47*** distance =-76.43,18.57,-16.35,13.49,مین حجم ماه=12.46*** مین ارزش ماه =10.27***مین حجم ماه دو=11.91,خرید=0.76*** فروش =1.11
فكمند,نسبت p/m=2381.71*** distance =40.12,40.30,-0.97,5.93,مین حجم ماه=2.06*** مین ارزش ماه =3.31***مین حجم ماه دو=1.21,خرید=0.26*** فروش =0.30
دزهراوي,نسبت p/m=102.95*** distance =-23.00,10.05,-15.72,15.89,مین حجم ماه=9.04*** مین ارزش ماه =1.18***مین حجم ماه دو=4.73,خرید=0.53*** فروش =0.63
سجام,نسبت p/m=-123.14*** distance =-73.97,2.39,-31.66,7.95,مین حجم ماه=5.78*** مین ارزش ماه =2.59***مین حجم ماه دو=3.07,خرید=0.76*** فروش =0.61
شپترو,نسبت p/m=11.71*** distance =-88.73,12.59,-18.13,15.70,مین حجم ماه=18.10*** مین ارزش ماه =1.76***مین حجم ماه دو=6.73,خرید=1.12*** فروش =1.02
شفن,نسبت p/m=-139.47*** distance =-71.54,9.23,-29.51,23.60,مین حجم ماه=18.54*** مین ارزش ماه =8.54***مین حجم ماه دو=11.23,خرید=0.66*** فروش =0.51
تاصيكو,نسبت p/m=-79.88*** distance =-92.69,5.34,-27.82,21.10,مین حجم ماه=35.90*** مین ارزش ماه =36.66***مین حجم ماه دو=16.67,خرید=1.82*** فروش =0.87
شستان,نسبت p/m=12.50*** distance =-90.71,24.38,-16.65,9.30,مین حجم ماه=7.51*** مین ارزش ماه =0.97***مین حجم ماه دو=3.90,خرید=0.73*** فروش =0.81
فبيرا,نسبت p/m=27.17*** distance =-74.47,24.80,-13.64,4.35,مین حجم ماه=3.92*** مین ارزش ماه =0.41***مین حجم ماه دو=1.46,خرید=0.87*** فروش =0.81
غگرجي,نسبت p/m=2.24*** distance =-98.25,14.45,-14.16,6.09,مین حجم ماه=4.18*** مین ارزش ماه =0.52***مین حجم ماه دو=4.09,خرید=0.73*** فروش =0.72
تجلي,نسبت p/m=34.33*** distance =-76.29,6.20,-10.62,27.90,مین حجم ماه=21.41*** مین ارزش ماه =3.02***مین حجم ماه دو=6.36,خرید=0.54*** فروش =0.51
وثنو,نسبت p/m=-122.70*** distance =-60.34,1.62,-27.89,13.98,مین حجم ماه=9.44*** مین ارزش ماه =2.77***مین حجم ماه دو=7.98,خرید=0.65*** فروش =0.67
سبزوا,نسبت p/m=-130.78*** distance =-76.07,0.17,-28.18,10.24,مین حجم ماه=6.89*** مین ارزش ماه =3.58***مین حجم ماه دو=4.99,خرید=0.59*** فروش =0.67
پكوير,نسبت p/m=-111.81*** distance =-83.18,8.21,-22.00,11.26,مین حجم ماه=11.29*** مین ارزش ماه =7.10***مین حجم ماه دو=11.75,خرید=1.22*** فروش =0.99
تنوين,نسبت p/m=138.09*** distance =-10.07,2.29,-15.42,30.83,مین حجم ماه=16.71*** مین ارزش ماه =2.52***مین حجم ماه دو=8.66,خرید=0.42*** فروش =0.50
زماهان,نسبت p/m=93.44*** distance =-90.11,3.33,-33.86,7.36,مین حجم ماه=7.54*** مین ارزش ماه =6.61***مین حجم ماه دو=4.43,خرید=1.11*** فروش =1.20
ونفت,نسبت p/m=129.41*** distance =-69.67,7.05,-33.73,7.73,مین حجم ماه=5.32*** مین ارزش ماه =2.12***مین حجم ماه دو=2.85,خرید=0.59*** فروش =0.67
دقاضي,نسبت p/m=-81.76*** distance =-88.80,0.00,-37.46,3.96,مین حجم ماه=4.64*** مین ارزش ماه =3.18***مین حجم ماه دو=4.70,خرید=0.70*** فروش =0.63
وهامون,نسبت p/m=5.00*** distance =-96.52,1.95,-24.36,13.04,مین حجم ماه=14.03*** مین ارزش ماه =1.87***مین حجم ماه دو=9.22,خرید=1.03*** فروش =1.07
ثاميد,نسبت p/m=-38.73*** distance =-78.47,1.21,-29.28,19.40,مین حجم ماه=15.93*** مین ارزش ماه =2.69***مین حجم ماه دو=14.16,خرید=0.82*** فروش =0.90
شنفت,نسبت p/m=99.16*** distance =-90.85,3.02,-22.60,8.74,مین حجم ماه=11.33*** مین ارزش ماه =11.63***مین حجم ماه دو=4.37,خرید=1.45*** فروش =1.90
كاذر,نسبت p/m=81.16*** distance =-75.09,0.03,-28.46,4.85,مین حجم ماه=5.68*** مین ارزش ماه =1.73***مین حجم ماه دو=5.00,خرید=1.05*** فروش =1.27
وهور,نسبت p/m=106.31*** distance =-34.52,10.19,-8.02,5.73,مین حجم ماه=4.78*** مین ارزش ماه =0.78***مین حجم ماه دو=4.30,خرید=0.63*** فروش =1.26
وارس,نسبت p/m=0.92*** distance =-99.88,4.28,-35.98,6.70,مین حجم ماه=5.98*** مین ارزش ماه =4.17***مین حجم ماه دو=4.06,خرید=0.81*** فروش =0.99
تماوند,نسبت p/m=-22.39*** distance =-90.69,12.56,-5.19,17.08,مین حجم ماه=6.94*** مین ارزش ماه =1.68***مین حجم ماه دو=2.93,خرید=0.38*** فروش =0.32
بنو,نسبت p/m=54.05*** distance =-57.97,8.86,-18.35,6.35,مین حجم ماه=4.14*** مین ارزش ماه =0.52***مین حجم ماه دو=3.88,خرید=0.67*** فروش =0.85
ولراز,نسبت p/m=-56.02*** distance =-75.50,12.64,-22.06,17.10,مین حجم ماه=14.48*** مین ارزش ماه =3.22***مین حجم ماه دو=7.92,خرید=0.79*** فروش =0.71
وتوشه,نسبت p/m=42.28*** distance =-91.88,1.99,-17.02,9.20,مین حجم ماه=6.40*** مین ارزش ماه =3.23***مین حجم ماه دو=4.73,خرید=0.51*** فروش =0.74
همراه,نسبت p/m=119.99*** distance =-73.10,1.88,-13.64,12.78,مین حجم ماه=10.58*** مین ارزش ماه =4.55***مین حجم ماه دو=7.03,خرید=0.81*** فروش =1.39
