نماد,نسبت پول به قیمت,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
وسينا,نسبت p/m=148.89*** distance =-47.08,0.13,-20.14,142.72,مین حجم ماه=99.30*** مین ارزش ماه =27.20***مین حجم ماه دو=50.15,خرید=0.48*** فروش =0.74
انتخاب,نسبت p/m=96.78*** distance =-4.46,10.37,-14.55,161.54,مین حجم ماه=67.66*** مین ارزش ماه =6.88***مین حجم ماه دو=24.54,خرید=0.49*** فروش =0.55
وپارس,نسبت p/m=139.87*** distance =-49.28,7.74,-25.59,136.62,مین حجم ماه=83.27*** مین ارزش ماه =21.76***مین حجم ماه دو=67.56,خرید=0.56*** فروش =0.69
چكاپا,نسبت p/m=17.01*** distance =-85.11,3.69,-21.66,156.56,مین حجم ماه=96.23*** مین ارزش ماه =10.58***مین حجم ماه دو=40.70,خرید=0.75*** فروش =0.68
كاما,نسبت p/m=16.76*** distance =-92.91,2.09,-36.27,88.63,مین حجم ماه=64.42*** مین ارزش ماه =14.07***مین حجم ماه دو=44.88,خرید=0.73*** فروش =0.77
كگل,نسبت p/m=27.90*** distance =-86.24,5.07,-28.67,219.57,مین حجم ماه=179.80*** مین ارزش ماه =34.56***مین حجم ماه دو=60.92,خرید=0.81*** فروش =0.64
فارس,نسبت p/m=-17.05*** distance =-98.04,0.11,-34.38,66.89,مین حجم ماه=62.44*** مین ارزش ماه =51.36***مین حجم ماه دو=24.74,خرید=1.20*** فروش =0.90
خكار,نسبت p/m=29.70*** distance =-80.62,0.81,-26.65,48.70,مین حجم ماه=34.79*** مین ارزش ماه =5.11***مین حجم ماه دو=19.04,خرید=0.88*** فروش =0.90
دانا,نسبت p/m=184.40*** distance =-27.61,1.56,-32.88,38.85,مین حجم ماه=26.35*** مین ارزش ماه =6.68***مین حجم ماه دو=13.57,خرید=0.66*** فروش =1.19
وساخت,نسبت p/m=4.95*** distance =-95.56,7.54,-31.49,119.74,مین حجم ماه=59.92*** مین ارزش ماه =6.37***مین حجم ماه دو=20.56,خرید=0.58*** فروش =0.58
خموتور,نسبت p/m=166.86*** distance =-46.96,22.25,-30.59,33.90,مین حجم ماه=19.54*** مین ارزش ماه =6.03***مین حجم ماه دو=8.81,خرید=0.69*** فروش =1.15
هاي وب,نسبت p/m=17.13*** distance =-47.09,51.06,-27.68,382.49,مین حجم ماه=274.16*** مین ارزش ماه =8.44***مین حجم ماه دو=156.04,خرید=0.76*** فروش =0.94
كاوه,نسبت p/m=-8.07*** distance =-97.69,3.64,-30.24,126.34,مین حجم ماه=66.06*** مین ارزش ماه =21.96***مین حجم ماه دو=25.22,خرید=0.54*** فروش =0.47
شپلي,نسبت p/m=29.33*** distance =-81.14,4.74,-22.86,174.79,مین حجم ماه=149.95*** مین ارزش ماه =22.40***مین حجم ماه دو=109.20,خرید=0.86*** فروش =0.96
فخوز,نسبت p/m=2.08*** distance =-98.48,16.56,-27.83,141.37,مین حجم ماه=145.92*** مین ارزش ماه =18.63***مین حجم ماه دو=75.49,خرید=0.84*** فروش =0.70
كرمان,نسبت p/m=-0.09*** distance =-99.90,0.00,-48.24,224.46,مین حجم ماه=167.50*** مین ارزش ماه =13.42***مین حجم ماه دو=109.23,خرید=0.79*** فروش =0.74
فاراك,نسبت p/m=15.84*** distance =-87.97,3.64,-26.22,144.26,مین حجم ماه=108.56*** مین ارزش ماه =13.47***مین حجم ماه دو=69.78,خرید=0.69*** فروش =0.72
ونيرو,نسبت p/m=77.99*** distance =-80.64,36.02,-4.14,222.63,مین حجم ماه=88.33*** مین ارزش ماه =36.03***مین حجم ماه دو=24.97,خرید=0.30*** فروش =0.36
