نماد,نسبت پول به قیمت,درصد,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
خبنيان,نسبت p/m=-12.84*** distance =-93.90,2.97,2.47,-32.88,51.47,مین حجم ماه=74.49*** مین ارزش ماه =14.07***مین حجم ماه دو=19.20,خرید=1.22*** فروش =1.20
اسياتك,نسبت p/m=4.71*** distance =-98.57,1.26,1.14,-31.63,34.26,مین حجم ماه=25.65*** مین ارزش ماه =8.00***مین حجم ماه دو=19.19,خرید=0.86*** فروش =0.69
ثفارس,نسبت p/m=-366.28*** distance =-76.86,2.03,11.44,-25.74,32.44,مین حجم ماه=33.92*** مین ارزش ماه =51.16***مین حجم ماه دو=0.33,خرید=1.14*** فروش =0.88
ونيرو,نسبت p/m=105.18*** distance =-73.85,-2.57,37.35,-1.98,218.13,مین حجم ماه=90.66*** مین ارزش ماه =36.95***مین حجم ماه دو=24.64,خرید=0.29*** فروش =0.35
بركت,نسبت p/m=53.84*** distance =-76.07,-2.96,11.00,-26.46,68.00,مین حجم ماه=49.22*** مین ارزش ماه =10.38***مین حجم ماه دو=23.71,خرید=0.82*** فروش =0.88
خكار,نسبت p/m=34.78*** distance =-77.60,0.63,1.76,-28.07,49.70,مین حجم ماه=37.07*** مین ارزش ماه =5.47***مین حجم ماه دو=18.22,خرید=0.75*** فروش =0.75
بترانس,نسبت p/m=22.27*** distance =-93.89,-2.98,4.63,-22.34,114.49,مین حجم ماه=80.28*** مین ارزش ماه =27.76***مین حجم ماه دو=41.46,خرید=0.64*** فروش =0.68
ونيكي,نسبت p/m=85.85*** distance =-83.27,-2.86,5.74,-16.80,49.36,مین حجم ماه=22.20*** مین ارزش ماه =11.31***مین حجم ماه دو=6.37,خرید=0.44*** فروش =0.49
كرازي,نسبت p/m=33.60*** distance =-63.49,0,12.44,-15.84,52.34,مین حجم ماه=46.42*** مین ارزش ماه =4.18***مین حجم ماه دو=40.75,خرید=0.97*** فروش =1.19
دلقما,نسبت p/m=33.45*** distance =-86.03,2.98,0.16,-34.35,30.81,مین حجم ماه=35.48*** مین ارزش ماه =8.05***مین حجم ماه دو=19.04,خرید=1.13*** فروش =1.30
آباد,نسبت p/m=15.61*** distance =-82.55,-2.95,20.34,-17.56,59.08,مین حجم ماه=44.36*** مین ارزش ماه =3.80***مین حجم ماه دو=26.32,خرید=0.65*** فروش =0.74
بهپاك,نسبت p/m=140.31*** distance =-72.36,1.77,0.55,-36.20,26.24,مین حجم ماه=13.71*** مین ارزش ماه =6.75***مین حجم ماه دو=7.16,خرید=0.54*** فروش =0.62
ثمسكن,نسبت p/m=32.29*** distance =-83.84,1.79,1.41,-38.36,42.38,مین حجم ماه=28.09*** مین ارزش ماه =5.17***مین حجم ماه دو=12.19,خرید=0.62*** فروش =0.66
غكورش,نسبت p/m=-1.48*** distance =-99.65,2.3,0.75,-26.61,18.83,مین حجم ماه=15.64*** مین ارزش ماه =6.22***مین حجم ماه دو=14.34,خرید=1.05*** فروش =0.97
كاوه,نسبت p/m=-55.74*** distance =-84.07,-2.97,5.18,-27.63,122.53,مین حجم ماه=64.75*** مین ارزش ماه =21.75***مین حجم ماه دو=24.03,خرید=0.54*** فروش =0.44
بجهرم,نسبت p/m=45.70*** distance =-77.29,-0.68,2.38,-28.13,119.51,مین حجم ماه=62.19*** مین ارزش ماه =12.08***مین حجم ماه دو=48.10,خرید=0.53*** فروش =0.64
كاما,نسبت p/m=21.30*** distance =-91.11,-2.98,2.95,-33.32,87.20,مین حجم ماه=63.05*** مین ارزش ماه =13.90***مین حجم ماه دو=46.01,خرید=0.78*** فروش =0.83
پترول,نسبت p/m=-19.23*** distance =-87.92,-1.47,3.06,-23.09,53.84,مین حجم ماه=71.11*** مین ارزش ماه =10.46***مین حجم ماه دو=46.67,خرید=1.20*** فروش =1.34
بپاس,نسبت p/m=383.35*** distance =-49.85,-2.95,4.06,-26.46,37.77,مین حجم ماه=41.80*** مین ارزش ماه =29.27***مین حجم ماه دو=21.35,خرید=0.66*** فروش =3.55
ثالوند,نسبت p/m=77.57*** distance =-88.17,2.74,0.70,-63.32,23.24,مین حجم ماه=18.56*** مین ارزش ماه =10.85***مین حجم ماه دو=10.28,خرید=0.64*** فروش =0.64
حكشتي,نسبت p/m=128.81*** distance =-76.91,-2.87,27.68,-0.74,83.71,مین حجم ماه=57.91*** مین ارزش ماه =33.67***مین حجم ماه دو=31.50,خرید=0.56*** فروش =0.55
وشهر,نسبت p/m=-29.16*** distance =-90.45,-2.03,62.51,-17.03,80.62,مین حجم ماه=89.11*** مین ارزش ماه =25.14***مین حجم ماه دو=118.52,خرید=0.87*** فروش =1.10
فن افزار,نسبت p/m=-63.11*** distance =-85.65,1.05,1.00,-24.64,28.78,مین حجم ماه=20.07*** مین ارزش ماه =8.52***مین حجم ماه دو=17.73,خرید=0.66*** فروش =0.65
گدنا,نسبت p/m=-195.49*** distance =-61.62,-1.12,0.91,-35.33,33.48,مین حجم ماه=17.97*** مین ارزش ماه =8.71***مین حجم ماه دو=9.94,خرید=0.65*** فروش =0.60
غشان,نسبت p/m=44.50*** distance =-87.70,2.7,0.23,-32.77,7.65,مین حجم ماه=3.72*** مین ارزش ماه =1.36***مین حجم ماه دو=1.98,خرید=0.88*** فروش =3.61
سيسكو,نسبت p/m=-42.21*** distance =-83.64,-1.01,4.70,-28.75,31.00,مین حجم ماه=29.11*** مین ارزش ماه =6.96***مین حجم ماه دو=14.35,خرید=0.86*** فروش =0.78
درازك,نسبت p/m=9.80*** distance =-90.91,3,87.56,-25.50,29.27,مین حجم ماه=41.29*** مین ارزش ماه =4.07***مین حجم ماه دو=7.31,خرید=1.77*** فروش =1.65
چدن,نسبت p/m=4.38*** distance =-97.10,-2.92,6.68,-22.86,41.08,مین حجم ماه=42.84*** مین ارزش ماه =6.02***مین حجم ماه دو=23.63,خرید=1.03*** فروش =1.19
فروژ,نسبت p/m=-5.97*** distance =-92.85,0.46,9.90,-20.14,20.76,مین حجم ماه=21.87*** مین ارزش ماه =1.71***مین حجم ماه دو=7.74,خرید=1.05*** فروش =1.10
وغدير,نسبت p/m=121.32*** distance =-87.93,-1,4.89,-20.12,80.21,مین حجم ماه=98.45*** مین ارزش ماه =95.69***مین حجم ماه دو=38.67,خرید=1.23*** فروش =1.24
زملارد,نسبت p/m=0.93*** distance =-98.90,-2.93,6.20,-27.61,40.46,مین حجم ماه=42.86*** مین ارزش ماه =3.28***مین حجم ماه دو=26.54,خرید=1.11*** فروش =1.15
فسرب,نسبت p/m=23.00*** distance =-79.51,-0.56,19.78,-28.20,29.55,مین حجم ماه=17.17*** مین ارزش ماه =1.98***مین حجم ماه دو=18.65,خرید=0.50*** فروش =0.55
خموتور,نسبت p/m=79.60*** distance =-75.22,-2.99,23.77,-28.02,32.07,مین حجم ماه=20.88*** مین ارزش ماه =6.49***مین حجم ماه دو=8.55,خرید=0.58*** فروش =0.58
فرابورس,نسبت p/m=-6.86*** distance =-98.23,-1.78,19.88,-19.54,42.99,مین حجم ماه=44.13*** مین ارزش ماه =16.58***مین حجم ماه دو=31.23,خرید=0.94*** فروش =0.90
الكتروماد,نسبت p/m=53.39*** distance =-86.29,2.98,7.44,-18.04,29.84,مین حجم ماه=18.77*** مین ارزش ماه =7.19***مین حجم ماه دو=5.86,خرید=0.59*** فروش =0.55
شفارس,نسبت p/m=16.46*** distance =-90.49,1.46,16.74,-9.80,43.25,مین حجم ماه=46.29*** مین ارزش ماه =7.86***مین حجم ماه دو=23.24,خرید=0.94*** فروش =1.02
ثغرب,نسبت p/m=19.15*** distance =-94.71,-2.24,3.23,-19.59,7.29,مین حجم ماه=7.06*** مین ارزش ماه =2.45***مین حجم ماه دو=5.08,خرید=1.51*** فروش =1.77
ولساپا,نسبت p/m=2.65*** distance =-95.92,-1.95,4.25,-9.36,65.54,مین حجم ماه=59.27*** مین ارزش ماه =3.75***مین حجم ماه دو=39.58,خرید=0.95*** فروش =0.97
توسن,نسبت p/m=114.98*** distance =-76.27,2.99,20.31,-20.22,17.74,مین حجم ماه=12.24*** مین ارزش ماه =5.70***مین حجم ماه دو=11.37,خرید=0.77*** فروش =0.86
بمپنا,نسبت p/m=336.75*** distance =-22.57,2.99,0.04,-24.03,17.74,مین حجم ماه=11.80*** مین ارزش ماه =4.99***مین حجم ماه دو=7.15,خرید=0.49*** فروش =0.96
كماسه,نسبت p/m=56.24*** distance =-83.49,-2.99,31.30,-26.36,36.72,مین حجم ماه=32.91*** مین ارزش ماه =10.40***مین حجم ماه دو=18.80,خرید=0.78*** فروش =0.83
ختور,نسبت p/m=8.30*** distance =-95.36,-0.21,14.13,-33.48,35.15,مین حجم ماه=28.97*** مین ارزش ماه =4.74***مین حجم ماه دو=12.24,خرید=0.92*** فروش =0.88
كاسپين,نسبت p/m=205.48*** distance =-78.64,2.95,81.75,-29.87,16.23,مین حجم ماه=14.83*** مین ارزش ماه =13.44***مین حجم ماه دو=6.28,خرید=1.00*** فروش =1.33
ساوه,نسبت p/m=589.00*** distance =-30.20,1.67,11.73,-9.25,11.70,مین حجم ماه=8.33*** مین ارزش ماه =7.01***مین حجم ماه دو=5.94,خرید=0.71*** فروش =0.83
حآفرين,نسبت p/m=-80.17*** distance =-40.59,2.99,1.04,-30.12,47.96,مین حجم ماه=38.62*** مین ارزش ماه =4.84***مین حجم ماه دو=29.16,خرید=0.85*** فروش =0.62
حفارس,نسبت p/m=-10.83*** distance =-94.90,-0.49,10.93,-5.54,46.09,مین حجم ماه=57.09*** مین ارزش ماه =11.93***مین حجم ماه دو=82.22,خرید=0.97*** فروش =1.06
فباهنر,نسبت p/m=-15.92*** distance =-97.61,-1.47,3.59,-31.31,43.46,مین حجم ماه=45.30*** مین ارزش ماه =28.07***مین حجم ماه دو=28.18,خرید=0.91*** فروش =0.91
وبشهر,نسبت p/m=71.78*** distance =-87.66,2.99,1.75,-32.80,13.68,مین حجم ماه=8.31*** مین ارزش ماه =4.63***مین حجم ماه دو=6.57,خرید=0.68*** فروش =0.78
خديزل,نسبت p/m=-28.26*** distance =-81.43,-2.11,5.46,-25.42,61.74,مین حجم ماه=47.10*** مین ارزش ماه =6.82***مین حجم ماه دو=27.47,خرید=0.85*** فروش =0.72
قنقش,نسبت p/m=29.55*** distance =-85.86,-2.99,98.58,-15.06,27.75,مین حجم ماه=9.93*** مین ارزش ماه =2.04***مین حجم ماه دو=0.07,خرید=0.08*** فروش =0.08
تكنو,نسبت p/m=-30.50*** distance =-83.90,-2.96,13.54,-14.00,16.02,مین حجم ماه=17.65*** مین ارزش ماه =3.19***مین حجم ماه دو=6.60,خرید=1.12*** فروش =0.87
كقزوي,نسبت p/m=-1.23*** distance =-97.96,-2.17,20.11,-24.17,47.64,مین حجم ماه=39.42*** مین ارزش ماه =2.18***مین حجم ماه دو=30.99,خرید=0.87*** فروش =0.94
كمنگنز,نسبت p/m=375.55*** distance =-0.74,2.99,0.00,-37.38,9.17,مین حجم ماه=4.48*** مین ارزش ماه =1.68***مین حجم ماه دو=2.70,خرید=0.59*** فروش =2.00
وليز,نسبت p/m=-80.47*** distance =-66.73,2.98,0.31,-23.44,28.30,مین حجم ماه=20.11*** مین ارزش ماه =4.76***مین حجم ماه دو=12.61,خرید=0.82*** فروش =0.68
سليم,نسبت p/m=-29.60*** distance =-82.57,0.78,8.96,-31.74,20.61,مین حجم ماه=17.47*** مین ارزش ماه =2.74***مین حجم ماه دو=12.30,خرید=0.95*** فروش =0.93
وسديد,نسبت p/m=-5.19*** distance =-96.99,2.98,8.34,-67.68,66.44,مین حجم ماه=68.47*** مین ارزش ماه =10.26***مین حجم ماه دو=40.92,خرید=0.94*** فروش =0.94
نوين,نسبت p/m=45.56*** distance =-74.34,-2.79,2.65,-36.30,40.17,مین حجم ماه=26.34*** مین ارزش ماه =4.47***مین حجم ماه دو=14.86,خرید=0.69*** فروش =0.71
تايرا,نسبت p/m=56.16*** distance =-83.95,-2.89,27.63,-18.99,68.84,مین حجم ماه=55.37*** مین ارزش ماه =18.16***مین حجم ماه دو=15.18,خرید=0.67*** فروش =0.72
ختراك,نسبت p/m=64.48*** distance =-71.55,-2.99,12.64,-20.57,46.79,مین حجم ماه=29.82*** مین ارزش ماه =6.48***مین حجم ماه دو=9.37,خرید=0.60*** فروش =0.65
كسرا,نسبت p/m=-4.56*** distance =-98.11,-2.99,13.84,-26.03,38.25,مین حجم ماه=32.26*** مین ارزش ماه =7.19***مین حجم ماه دو=20.00,خرید=0.83*** فروش =0.80
شيران,نسبت p/m=-14.73*** distance =-97.25,-2.93,16.41,-13.13,63.56,مین حجم ماه=109.70*** مین ارزش ماه =55.88***مین حجم ماه دو=23.88,خرید=1.40*** فروش =1.45
والماس,نسبت p/m=-33.44*** distance =-85.52,2.96,2.12,-42.38,18.50,مین حجم ماه=11.46*** مین ارزش ماه =2.46***مین حجم ماه دو=4.68,خرید=0.70*** فروش =0.77
كحافظ,نسبت p/m=13.46*** distance =-91.02,-1.24,20.13,-33.48,29.93,مین حجم ماه=37.73*** مین ارزش ماه =5.15***مین حجم ماه دو=20.24,خرید=1.64*** فروش =1.61
شگويا,نسبت p/m=-166.71*** distance =-79.03,0.87,1.89,-35.50,18.99,مین حجم ماه=10.45*** مین ارزش ماه =7.80***مین حجم ماه دو=4.45,خرید=0.65*** فروش =0.74
بورس,نسبت p/m=-17.65*** distance =-94.51,-1.53,3.69,-34.90,43.62,مین حجم ماه=43.78*** مین ارزش ماه =13.05***مین حجم ماه دو=27.71,خرید=1.02*** فروش =0.99
قصفها,نسبت p/m=5.54*** distance =-95.18,2.59,2.28,-21.41,29.64,مین حجم ماه=33.40*** مین ارزش ماه =3.63***مین حجم ماه دو=30.98,خرید=0.99*** فروش =1.06
فولاي,نسبت p/m=34.14*** distance =-92.86,2.98,8.41,-17.86,13.36,مین حجم ماه=13.81*** مین ارزش ماه =6.23***مین حجم ماه دو=12.41,خرید=1.11*** فروش =1.18
