نماد,نسبت پول به قیمت,درصد,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
خودرو,نسبت p/m=5.23*** distance =-89.32,2.13,16.69,-38.48,6708.18,مین حجم ماه=3999.46*** مین ارزش ماه =182.70***مین حجم ماه دو=3343.21,خرید=1.46*** فروش =1.70
خساپا,نسبت p/m=14.30*** distance =-70.23,-2.4,3.14,-32.44,3376.71,مین حجم ماه=2230.15*** مین ارزش ماه =100.84***مین حجم ماه دو=1586.69,خرید=1.46*** فروش =1.78
وبصادر,نسبت p/m=8.80*** distance =-83.86,2.89,7.79,-29.09,1330.97,مین حجم ماه=949.35*** مین ارزش ماه =49.49***مین حجم ماه دو=560.72,خرید=1.62*** فروش =1.91
وتجارت,نسبت p/m=0.12*** distance =-99.75,-0.65,3.99,-24.86,2159.58,مین حجم ماه=1843.65*** مین ارزش ماه =79.80***مین حجم ماه دو=1345.42,خرید=1.67*** فروش =1.57
وبملت,نسبت p/m=9.59*** distance =-92.20,-2.85,51.59,-23.46,2236.17,مین حجم ماه=2040.27*** مین ارزش ماه =237.21***مین حجم ماه دو=1484.41,خرید=1.55*** فروش =1.57
ذوب,نسبت p/m=2.04*** distance =-94.35,-2.93,4.68,-30.60,1740.12,مین حجم ماه=1309.06*** مین ارزش ماه =44.32***مین حجم ماه دو=791.16,خرید=1.52*** فروش =1.55
هاي وب,نسبت p/m=17.16*** distance =-48.23,2.89,49.65,-25.80,480.65,مین حجم ماه=298.81*** مین ارزش ماه =9.48***مین حجم ماه دو=165.62,خرید=1.32*** فروش =1.58
كرمان,نسبت p/m=-10.17*** distance =-88.89,3,0.00,-52.68,339.88,مین حجم ماه=213.55*** مین ارزش ماه =18.03***مین حجم ماه دو=107.19,خرید=1.18*** فروش =1.10
ميدكو,نسبت p/m=730.11*** distance =73.83,0.61,0.89,-25.00,181.15,مین حجم ماه=62.61*** مین ارزش ماه =27.67***مین حجم ماه دو=11.67,خرید=0.41*** فروش =0.76
دي,نسبت p/m=-1.87*** distance =-97.34,2.32,0.80,-29.41,415.36,مین حجم ماه=336.56*** مین ارزش ماه =22.07***مین حجم ماه دو=128.83,خرید=1.11*** فروش =1.22
شستا,نسبت p/m=4.83*** distance =-96.69,-1.85,5.96,-24.74,876.88,مین حجم ماه=870.64*** مین ارزش ماه =122.13***مین حجم ماه دو=463.14,خرید=1.42*** فروش =1.35
شتران,نسبت p/m=60.93*** distance =-77.13,1.61,1.40,-30.67,927.68,مین حجم ماه=577.91*** مین ارزش ماه =148.17***مین حجم ماه دو=203.92,خرید=0.74*** فروش =0.78
فولاد,نسبت p/m=-10.74*** distance =-96.14,-2.98,14.92,-27.80,722.02,مین حجم ماه=769.73*** مین ارزش ماه =200.13***مین حجم ماه دو=545.38,خرید=1.39*** فروش =1.25
وساپا,نسبت p/m=186.19*** distance =-62.17,2.98,0.24,-48.78,308.50,مین حجم ماه=182.97*** مین ارزش ماه =85.88***مین حجم ماه دو=97.08,خرید=0.75*** فروش =0.80
اخابر,نسبت p/m=0.49*** distance =-98.95,-2.74,18.60,-25.41,590.48,مین حجم ماه=592.17*** مین ارزش ماه =25.91***مین حجم ماه دو=387.48,خرید=1.40*** فروش =1.31
ثاخت,نسبت p/m=15.44*** distance =-89.13,2.94,91.13,-4.63,463.81,مین حجم ماه=160.28*** مین ارزش ماه =11.23***مین حجم ماه دو=14.84,خرید=0.19*** فروش =0.19
خزاميا,نسبت p/m=8.56*** distance =-95.10,-2.97,14.76,-39.67,387.00,مین حجم ماه=326.23*** مین ارزش ماه =52.20***مین حجم ماه دو=173.20,خرید=1.07*** فروش =1.11
شپنا,نسبت p/m=16.30*** distance =-96.50,-1.93,4.17,-34.56,546.61,مین حجم ماه=547.52*** مین ارزش ماه =240.21***مین حجم ماه دو=240.62,خرید=1.13*** فروش =1.17
وگردش,نسبت p/m=17.31*** distance =-75.57,2.94,76.05,-59.96,458.80,مین حجم ماه=705.17*** مین ارزش ماه =41.81***مین حجم ماه دو=50.46,خرید=1.85*** فروش =2.58
خپارس,نسبت p/m=1.13*** distance =-98.47,-2.95,17.74,-25.20,176.61,مین حجم ماه=166.77*** مین ارزش ماه =11.47***مین حجم ماه دو=82.38,خرید=1.15*** فروش =1.09
كالا,نسبت p/m=-15.14*** distance =-97.81,2.28,17.36,-43.23,104.59,مین حجم ماه=89.03*** مین ارزش ماه =57.92***مین حجم ماه دو=51.46,خرید=1.51*** فروش =1.16
فملي,نسبت p/m=-95.82*** distance =-87.65,-1.26,2.13,-36.13,385.34,مین حجم ماه=398.46*** مین ارزش ماه =292.17***مین حجم ماه دو=162.86,خرید=1.20*** فروش =0.82
خبهمن,نسبت p/m=80.63*** distance =-52.00,-2.95,19.65,-25.15,392.22,مین حجم ماه=236.27*** مین ارزش ماه =38.15***مین حجم ماه دو=60.57,خرید=0.60*** فروش =0.64
كيسون,نسبت p/m=13.04*** distance =-92.55,-2.99,37.64,-7.49,602.38,مین حجم ماه=337.71*** مین ارزش ماه =58.15***مین حجم ماه دو=4.81,خرید=0.40*** فروش =0.39
خگستر,نسبت p/m=1.15*** distance =-99.70,-2.43,7.35,-37.08,242.23,مین حجم ماه=210.63*** مین ارزش ماه =74.80***مین حجم ماه دو=112.51,خرید=1.00*** فروش =1.01
ونوين,نسبت p/m=79.90*** distance =-81.22,-3,2.72,-27.13,265.00,مین حجم ماه=217.23*** مین ارزش ماه =87.17***مین حجم ماه دو=181.92,خرید=0.84*** فروش =0.92
شگستر,نسبت p/m=36.20*** distance =-57.49,0.71,22.60,-9.92,257.20,مین حجم ماه=204.19*** مین ارزش ماه =17.11***مین حجم ماه دو=101.95,خرید=0.71*** فروش =1.11
انتخاب,نسبت p/m=74.48*** distance =-27.42,-2.46,11.95,-12.05,179.27,مین حجم ماه=74.76*** مین ارزش ماه =7.63***مین حجم ماه دو=25.28,خرید=0.47*** فروش =0.49
وساخت,نسبت p/m=12.29*** distance =-89.22,2.92,5.08,-34.99,114.98,مین حجم ماه=68.44*** مین ارزش ماه =7.40***مین حجم ماه دو=20.41,خرید=0.58*** فروش =0.57
كچاد,نسبت p/m=84.31*** distance =-66.14,-2.91,3.18,-46.34,372.08,مین حجم ماه=175.33*** مین ارزش ماه =41.26***مین حجم ماه دو=51.97,خرید=0.56*** فروش =0.47
وپاسار,نسبت p/m=95.38*** distance =-81.01,0.15,1.37,-23.28,99.43,مین حجم ماه=87.37*** مین ارزش ماه =41.31***مین حجم ماه دو=171.67,خرید=0.88*** فروش =1.12
شبندر,نسبت p/m=-141.96*** distance =-88.63,-0.87,2.62,-26.02,160.47,مین حجم ماه=150.19*** مین ارزش ماه =181.08***مین حجم ماه دو=79.51,خرید=1.11*** فروش =0.90
فولاژ,نسبت p/m=403.64*** distance =18.81,2.99,11.05,-11.62,39.08,مین حجم ماه=17.85*** مین ارزش ماه =6.18***مین حجم ماه دو=2.97,خرید=0.46*** فروش =0.91
ثبهساز,نسبت p/m=100.44*** distance =-57.71,1.85,0.76,-24.51,114.50,مین حجم ماه=65.39*** مین ارزش ماه =14.97***مین حجم ماه دو=28.51,خرید=0.64*** فروش =0.72
حخزر,نسبت p/m=4.90*** distance =-97.94,2.97,2.69,-41.93,24.80,مین حجم ماه=12.25*** مین ارزش ماه =2.89***مین حجم ماه دو=2.26,خرید=0.76*** فروش =1.54
خاور,نسبت p/m=7.93*** distance =-92.93,-2.97,29.09,-30.09,210.19,مین حجم ماه=182.60*** مین ارزش ماه =18.73***مین حجم ماه دو=170.08,خرید=1.03*** فروش =0.95
تپكو,نسبت p/m=4.91*** distance =-87.61,-1.97,20.59,-28.98,191.31,مین حجم ماه=194.01*** مین ارزش ماه =7.14***مین حجم ماه دو=91.16,خرید=1.15*** فروش =1.20
كگل,نسبت p/m=26.45*** distance =-86.94,-2.2,6.56,-25.31,194.32,مین حجم ماه=180.81*** مین ارزش ماه =34.94***مین حجم ماه دو=62.06,خرید=0.92*** فروش =0.70
وسبحان,نسبت p/m=-12.87*** distance =-94.11,0.83,0.26,-19.02,40.32,مین حجم ماه=27.15*** مین ارزش ماه =5.98***مین حجم ماه دو=11.20,خرید=0.89*** فروش =0.93
وسينا,نسبت p/m=117.80*** distance =-58.90,0,2.39,-19.07,150.74,مین حجم ماه=97.85*** مین ارزش ماه =27.07***مین حجم ماه دو=52.79,خرید=0.51*** فروش =0.65
خصدرا,نسبت p/m=21.23*** distance =-89.85,2.93,21.99,-12.85,80.50,مین حجم ماه=87.93*** مین ارزش ماه =18.35***مین حجم ماه دو=1.33,خرید=0.96*** فروش =1.04
وخارزم,نسبت p/m=-46.89*** distance =-83.45,-2.07,2.85,-33.20,136.19,مین حجم ماه=124.78*** مین ارزش ماه =32.01***مین حجم ماه دو=84.77,خرید=1.22*** فروش =0.99
غزر,نسبت p/m=-5.51*** distance =-97.68,-2.03,5.58,-30.22,74.75,مین حجم ماه=73.36*** مین ارزش ماه =15.87***مین حجم ماه دو=79.97,خرید=1.05*** فروش =0.98
ورنا,نسبت p/m=88.55*** distance =-84.49,-0.34,2.15,-38.73,89.11,مین حجم ماه=73.28*** مین ارزش ماه =38.76***مین حجم ماه دو=32.31,خرید=0.89*** فروش =0.88
غبشهر,نسبت p/m=91.41*** distance =-61.32,2.97,0.23,-34.33,21.44,مین حجم ماه=15.76*** مین ارزش ماه =3.57***مین حجم ماه دو=7.95,خرید=0.98*** فروش =2.43
فاراك,نسبت p/m=13.30*** distance =-89.90,-2.95,5.75,-23.45,136.29,مین حجم ماه=107.57*** مین ارزش ماه =13.46***مین حجم ماه دو=70.34,خرید=0.82*** فروش =0.77
دزهراوي,نسبت p/m=160.44*** distance =18.64,2.99,7.49,-19.02,24.59,مین حجم ماه=12.73*** مین ارزش ماه =1.70***مین حجم ماه دو=4.74,خرید=0.56*** فروش =0.71
چكاپا,نسبت p/m=17.38*** distance =-84.89,-2.98,5.41,-19.48,157.21,مین حجم ماه=96.50*** مین ارزش ماه =10.64***مین حجم ماه دو=41.20,خرید=0.68*** فروش =0.64
شكام,نسبت p/m=101.87*** distance =-71.70,2.98,0.21,-16.86,39.44,مین حجم ماه=32.28*** مین ارزش ماه =11.42***مین حجم ماه دو=28.56,خرید=0.88*** فروش =1.03
ومعادن,نسبت p/m=-25.99*** distance =-87.10,-2.31,5.34,-31.45,176.01,مین حجم ماه=211.76*** مین ارزش ماه =40.32***مین حجم ماه دو=79.29,خرید=1.66*** فروش =0.86
دانا,نسبت p/m=156.90*** distance =-39.11,2.98,0.40,-31.10,46.50,مین حجم ماه=29.64*** مین ارزش ماه =7.59***مین حجم ماه دو=13.40,خرید=0.52*** فروش =1.05
قچار,نسبت p/m=-299.39*** distance =-13.05,2.76,1.89,-34.36,25.82,مین حجم ماه=12.53*** مین ارزش ماه =4.21***مین حجم ماه دو=4.84,خرید=0.66*** فروش =0.55
وپارس,نسبت p/m=105.21*** distance =-62.21,-2.97,10.09,-22.39,132.88,مین حجم ماه=83.12*** مین ارزش ماه =21.87***مین حجم ماه دو=67.96,خرید=0.58*** فروش =0.66
هرمز,نسبت p/m=85.11*** distance =-38.63,-2.95,8.12,-17.92,39.06,مین حجم ماه=22.47*** مین ارزش ماه =3.06***مین حجم ماه دو=11.69,خرید=0.56*** فروش =0.92
فاذر,نسبت p/m=-4.06*** distance =-95.52,-2.91,4.12,-28.29,65.21,مین حجم ماه=59.46*** مین ارزش ماه =5.02***مین حجم ماه دو=46.52,خرید=1.12*** فروش =1.14
فارس,نسبت p/m=-54.77*** distance =-93.72,-2.01,3.42,-29.25,72.74,مین حجم ماه=65.13*** مین ارزش ماه =53.86***مین حجم ماه دو=24.47,خرید=1.06*** فروش =0.88
وخاور,نسبت p/m=70.48*** distance =-71.61,-0.39,39.14,-19.33,133.00,مین حجم ماه=79.09*** مین ارزش ماه =19.21***مین حجم ماه دو=50.75,خرید=0.61*** فروش =0.60
ورازي,نسبت p/m=-24.00*** distance =-71.87,-2.89,5.75,-36.04,40.94,مین حجم ماه=39.53*** مین ارزش ماه =2.97***مین حجم ماه دو=14.70,خرید=1.08*** فروش =1.23
ماديرا,نسبت p/m=39.27*** distance =-85.69,2.98,0.44,-22.12,43.20,مین حجم ماه=26.46*** مین ارزش ماه =7.11***مین حجم ماه دو=17.28,خرید=0.53*** فروش =0.55
خيمن,نسبت p/m=179.37*** distance =-55.41,1.57,2.14,-32.17,32.53,مین حجم ماه=22.56*** مین ارزش ماه =8.61***مین حجم ماه دو=16.73,خرید=0.71*** فروش =1.11
حفاري,نسبت p/m=85.91*** distance =-82.37,-2.98,11.94,-29.32,68.02,مین حجم ماه=43.07*** مین ارزش ماه =20.08***مین حجم ماه دو=19.68,خرید=0.59*** فروش =0.54
فخوز,نسبت p/m=-10.58*** distance =-92.25,0.89,17.06,-27.08,120.55,مین حجم ماه=147.52*** مین ارزش ماه =18.87***مین حجم ماه دو=74.29,خرید=1.10*** فروش =0.88
سمگا,نسبت p/m=22.55*** distance =-92.50,2.99,12.76,-31.77,43.81,مین حجم ماه=38.99*** مین ارزش ماه =10.97***مین حجم ماه دو=48.14,خرید=0.90*** فروش =0.84
حتوكا,نسبت p/m=181.36*** distance =-18.15,2.98,0.04,-18.71,19.14,مین حجم ماه=8.59*** مین ارزش ماه =1.95***مین حجم ماه دو=4.56,خرید=0.45*** فروش =0.63
فرود,نسبت p/m=20.24*** distance =-92.88,3,1.94,-35.19,47.42,مین حجم ماه=23.96*** مین ارزش ماه =6.37***مین حجم ماه دو=6.40,خرید=0.51*** فروش =0.51
فجر,نسبت p/m=-31.81*** distance =-87.85,3,24.43,-0.09,18.36,مین حجم ماه=9.63*** مین ارزش ماه =2.38***مین حجم ماه دو=11.14,خرید=0.69*** فروش =0.55
